County,FileNumber,ProviderName,Adult ICU Census,Available Adult ICU,Available Adult ICU%,Total AdultICU Capacity,Pediatric ICU Census,Available Pediatric ICU,Available Pediatric ICU%,Total PediatricICU Capacity
CLAY,100226,ORANGE PARK MEDICAL CENTER,26,2,7.14%,28,1,3,75.00%,4
CLAY,23960117,ASCENSION ST VINCENT'S CLAY COUNTY,7,1,12.50%,8,0,0,,0
COLLIER,100018,NAPLES COMMUNITY HOSPITAL,16,15,48.39%,31,0,0,,0
COLLIER,110043,"WILLOUGH AT NAPLES, THE",0,0,,0,0,0,,0
COLLIER,120006,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,5,11,68.75%,16,0,0,,0
COLLIER,23960025,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,11,1,8.33%,12,0,0,,0
COLLIER,23960057,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,11,1,8.33%,12,0,0,,0
COLLIER,23960116,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,8,0,0.00%,8,0,0,,0
COLUMBIA,100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,4,4,50.00%,8,0,0,,0
COLUMBIA,100156,LAKE CITY MEDICAL CENTER,17,12,41.38%,29,0,0,,0
DESOTO,100175,DESOTO MEMORIAL HOSPITAL,3,5,62.50%,8,0,0,,0
DUVAL,100001,UF HEALTH JACKSONVILLE,86,14,14.00%,100,3,5,62.50%,8
DUVAL,100040,ASCENSION ST VINCENT'S RIVERSIDE,38,35,47.95%,73,0,0,,0
DUVAL,100088,BAPTIST MEDICAL CENTER JACKSONVILLE,40,32,44.44%,72,0,0,,0
DUVAL,100117,BAPTIST MEDICAL CENTER - BEACHES,15,9,37.50%,24,0,0,,0
DUVAL,100151,MAYO CLINIC,40,14,25.93%,54,0,0,,0
DUVAL,100179,MEMORIAL HOSPITAL JACKSONVILLE,26,16,38.10%,42,0,0,,0
DUVAL,100184,BROOKS REHABILITATION HOSPITAL,0,0,,0,0,0,,0
DUVAL,100196,CURAHEALTH JACKSONVILLE LLC,0,0,,0,0,0,,0
DUVAL,104016,RIVER POINT BEHAVIORAL HEALTH,0,0,,0,0,0,,0
DUVAL,23960052,BAPTIST MEDICAL CENTER SOUTH,16,22,57.89%,38,0,0,,0
DUVAL,23960061,WEKIVA SPRINGS,0,0,,0,0,0,,0
DUVAL,23960088,ASCENSION ST VINCENT'S SOUTHSIDE,6,12,66.67%,18,0,0,,0
DUVAL,23960123,UF HEALTH NORTH,16,8,33.33%,24,0,0,,0
DUVAL,23960157,WOLFSON CHILDREN'S HOSPITAL,0,0,,0,10,22,68.75%,32
ESCAMBIA,100025,ASCENSION SACRED HEART PENSACOLA,23,11,32.35%,34,8,2,20.00%,10
ESCAMBIA,100093,BAPTIST HOSPITAL,36,0,0.00%,36,0,0,,0
ESCAMBIA,100231,WEST FLORIDA HOSPITAL,29,7,19.44%,36,0,6,100.00%,6
ESCAMBIA,23960076,SELECT SPECIALTY HOSPITAL PENSACOLA,5,1,16.67%,6,0,0,,0
FLAGLER,100118,ADVENTHEALTH PALM COAST,14,4,22.22%,18,0,0,,0
FRANKLIN,100153,GEORGE E WEEMS MEMORIAL HOSPITAL,0,0,,0,0,0,,0
GADSDEN,100159,"CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS",0,0,,0,0,0,,0
GADSDEN,104000,FLORIDA STATE HOSPITAL,0,0,,0,0,0,,0
GULF,23960084,ASCENSION SACRED HEART GULF,0,0,,0,0,0,,0
HARDEE,100282,ADVENTHEALTH WAUCHULA,0,0,,0,0,0,,0
HENDRY,100098,HENDRY REGIONAL MEDICAL CENTER,0,0,,0,0,0,,0
HERNANDO,100071,BAYFRONT HEALTH BROOKSVILLE,13,6,31.58%,19,0,0,,0
HERNANDO,100264,OAK HILL HOSPITAL,31,5,13.89%,36,0,0,,0
HERNANDO,110054,SPRINGBROOK HOSPITAL,0,0,,0,0,0,,0
HERNANDO,111525,BAYFRONT HEALTH SPRING HILL,5,5,50.00%,10,0,0,,0
HERNANDO,23960042,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL,0,0,,0,0,0,,0
HIGHLANDS,100049,HIGHLANDS REGIONAL MEDICAL CENTER,12,4,25.00%,16,0,0,,0
HIGHLANDS,100109,ADVENTHEALTH SEBRING,9,2,18.18%,11,0,0,,0
HIGHLANDS,120013,ADVENTHEALTH LAKE PLACID,4,6,60.00%,10,0,0,,0
HILLSBOROUGH,100069,ADVENTHEALTH CARROLLWOOD,5,3,37.50%,8,0,0,,0
HILLSBOROUGH,100075,ST JOSEPHS HOSPITAL,41,5,10.87%,46,16,0,0.00%,16
HILLSBOROUGH,100115,KINDRED HOSPITAL-BAY AREA-TAMPA,4,0,0.00%,4,0,0,,0
HILLSBOROUGH,100128,TAMPA GENERAL HOSPITAL,94,32,25.40%,126,3,5,62.50%,8
HILLSBOROUGH,100132,SOUTH FLORIDA BAPTIST HOSPITAL,12,5,29.41%,17,0,0,,0
HILLSBOROUGH,100143,KINDRED HOSPITAL-CENTRAL TAMPA,6,0,0.00%,6,0,0,,0
HILLSBOROUGH,100173,ADVENTHEALTH TAMPA,25,12,32.43%,37,2,2,50.00%,4
HILLSBOROUGH,100206,MEMORIAL HOSPITAL OF TAMPA,12,0,0.00%,12,0,0,,0
HILLSBOROUGH,100243,BRANDON REGIONAL HOSPITAL,40,8,16.67%,48,0,8,100.00%,8
HILLSBOROUGH,100255,TAMPA COMMUNITY HOSPITAL- A CAMPUS OF MEMORIAL HOSPITAL OF TAMPA,0,0,,0,0,0,,0
HILLSBOROUGH,100259,SOUTH BAY HOSPITAL,4,8,66.67%,12,0,0,,0
HILLSBOROUGH,110009,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL,24,5,17.24%,29,0,0,,0
HILLSBOROUGH,23960100,ST JOSEPHS HOSPITAL NORTH,20,3,13.04%,23,0,0,,0
HILLSBOROUGH,23960105,ST JOSEPHS HOSPITAL SOUTH,24,2,7.69%,26,0,0,,0
HILLSBOROUGH,23960113,ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,0,0,,0,0,0,,0
HOLMES,100078,DOCTORS MEMORIAL HOSPITAL,0,0,,0,0,0,,0
INDIAN RIVER,100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,17,7,29.17%,24,0,0,,0
INDIAN RIVER,100217,STEWARD SEBASTIAN RIVER MEDICAL CENTER,5,2,28.57%,7,0,0,,0
INDIAN RIVER,110017,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TREASURE COAST,0,0,,0,0,0,,0
JACKSON,100138,CAMPBELLTON-GRACEVILLE HOSPITAL,0,0,,0,0,0,,0
JACKSON,100142,JACKSON HOSPITAL,4,5,55.56%,9,0,0,,0
LAKE,100051,ORLANDO HEALTH SOUTH LAKE HOSPITAL,8,2,20.00%,10,0,0,,0
LAKE,100057,ADVENTHEALTH WATERMAN,23,17,42.50%,40,0,0,,0
LAKE,100084,UF HEALTH LEESBURG HOSPITAL,33,15,31.25%,48,0,0,,0
LAKE,100214,UF HEALTH LEESBURG SENIOR BEHAVIORAL HEALTH CENTER,0,0,,0,0,0,,0
LAKE,104018,LIFESTREAM BEHAVIORAL CENTER,0,0,,0,0,0,,0
LEE,100012,LEE MEMORIAL HOSPITAL,22,5,18.52%,27,0,0,,0
LEE,100107,LEHIGH REGIONAL MEDICAL CENTER,6,0,0.00%,6,0,0,,0
LEE,100220,GULF COAST MEDICAL CENTER LEE MEMORIAL HEALTH SYSTEM,35,25,41.67%,60,0,0,,0
LEE,100244,CAPE CORAL HOSPITAL,13,5,27.78%,18,0,0,,0
LEE,120005,HEALTHPARK MEDICAL CENTER,14,24,63.16%,38,60,20,25.00%,80
LEE,23960103,PARK ROYAL HOSPITAL,0,0,,0,0,0,,0
LEE,23960107,SELECT SPECIALTY HOSPITAL-FORT MYERS,5,1,16.67%,6,0,0,,0
LEON,100135,TALLAHASSEE MEMORIAL HOSPITAL,34,12,26.09%,46,2,7,77.78%,9
LEON,100254,CAPITAL REGIONAL MEDICAL CENTER,19,1,5.00%,20,0,0,,0
LEON,110021,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TALLAHASSEE,0,0,,0,0,0,,0
LEON,110044,EASTSIDE PSYCHIATRIC HOSPITAL,0,0,,0,0,0,,0
LEON,23960059,SELECT SPECIALTY HOSPITAL - TALLAHASSEE,6,0,0.00%,6,0,0,,0
MADISON,100004,MADISON COUNTY MEMORIAL HOSPITAL,0,0,,0,0,0,,0
MANATEE,100035,MANATEE MEMORIAL HOSPITAL,21,24,53.33%,45,0,0,,0
MANATEE,100213,BLAKE MEDICAL CENTER,22,13,37.14%,35,0,0,,0
MANATEE,110028,CENTERSTONE OF FLORIDA,0,0,,0,0,0,,0
MANATEE,110049,SUNCOAST BEHAVIORAL HEALTH CENTER,0,0,,0,0,0,,0
MANATEE,23960046,LAKEWOOD RANCH MEDICAL CENTER,3,6,66.67%,9,0,0,,0
MARION,100062,ADVENTHEALTH OCALA,23,21,47.73%,44,0,0,,0
MARION,100212,OCALA REGIONAL MEDICAL CENTER,44,3,6.38%,47,0,0,,0
MARION,23960039,WEST MARION COMMUNITY HOSPITAL,14,1,6.67%,15,0,0,,0
MARION,23960060,KINDRED HOSPITAL OCALA,0,0,,0,0,0,,0
MARION,23960073,THE VINES HOSPITAL,0,0,,0,0,0,,0
MARION,23960109,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,0,0,,0,0,0,,0
MARTIN,100044,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,7,20,74.07%,27,0,0,,0
MARTIN,120009,CLEVELAND CLINIC MARTIN SOUTH HOSPITAL,4,4,50.00%,8,0,0,,0
MARTIN,23960112,ENCOMPASS HEALTH REHAB HOSPITAL AN AFFILIATE OF MARTIN HEALTH,0,0,,0,0,0,,0
MARTIN,23960125,CORAL SHORES BEHAVIORAL HEALTH,0,0,,0,0,0,,0
MIAMI-DADE,100008,BAPTIST HOSPITAL OF MIAMI,42,46,52.27%,88,0,0,,0
MIAMI-DADE,100009,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS-UHEALTH TOWER,37,9,19.57%,46,0,0,,0
MIAMI-DADE,100020,DOCTORS HOSPITAL,7,11,61.11%,18,0,0,,0
MIAMI-DADE,100022,JACKSON MEMORIAL HOSPITAL,162,71,30.47%,233,13,7,35.00%,20
MIAMI-DADE,100029,NORTH SHORE MEDICAL CENTER,38,0,0.00%,38,0,0,,0
MIAMI-DADE,100034,MOUNT SINAI MEDICAL CENTER,55,54,49.54%,109,0,0,,0
MIAMI-DADE,100050,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,13,7,35.00%,20,0,0,,0
MIAMI-DADE,100053,HIALEAH HOSPITAL,17,4,19.05%,21,0,0,,0
MIAMI-DADE,100061,"MERCY HOSPITAL, A CAMPUS OF PLANTATION GENERAL HOSPITAL",21,26,55.32%,47,0,0,,0
MIAMI-DADE,100076,VARIETY CHILDREN'S HOSPITAL,0,0,,0,0,0,,0
MIAMI-DADE,100079,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPREHENSIVE,17,23,57.50%,40,0,0,,0
MIAMI-DADE,100114,JACKSON NORTH MEDICAL CENTER,21,3,12.50%,24,0,0,,0
MIAMI-DADE,100125,HOMESTEAD HOSPITAL,13,3,18.75%,16,0,0,,0
MIAMI-DADE,100131,AVENTURA HOSPITAL AND MEDICAL CENTER,38,14,26.92%,52,0,0,,0
MIAMI-DADE,100152,KINDRED HOSPITAL-SOUTH FLORIDA-CORAL GABLES,6,0,0.00%,6,0,0,,0
MIAMI-DADE,100154,SOUTH MIAMI HOSPITAL,9,19,67.86%,28,0,0,,0
MIAMI-DADE,100165,WESTCHESTER GENERAL HOSPITAL,4,2,33.33%,6,0,0,,0
MIAMI-DADE,100181,LARKIN COMMUNITY HOSPITAL,15,1,6.25%,16,0,0,,0
MIAMI-DADE,100183,CORAL GABLES HOSPITAL,14,2,12.50%,16,0,0,,0
MIAMI-DADE,100187,PALMETTO GENERAL HOSPITAL,30,26,46.43%,56,0,0,,0
MIAMI-DADE,100197,DOUGLAS GARDENS HOSPITAL,0,0,,0,0,0,,0
MIAMI-DADE,100208,JACKSON SOUTH MEDICAL CENTER,14,36,72.00%,50,0,0,,0
MIAMI-DADE,100209,KENDALL REGIONAL MEDICAL CENTER,39,13,25.00%,52,0,7,100.00%,7
MIAMI-DADE,100240,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS-BASCOM PALMER EYE INST,0,0,,0,0,0,,0
MIAMI-DADE,103004,ST CATHERINE'S REHABILITATION HOSPITAL,0,0,,0,0,0,,0
MIAMI-DADE,103038,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MIAMI,0,0,,0,0,0,,0
MIAMI-DADE,110040,SOUTHERN WINDS,0,0,,0,0,0,,0
MIAMI-DADE,110041,WEST GABLES REHABILITATION HOSPITAL,0,0,,0,0,0,,0
MIAMI-DADE,110199,NICKLAUS CHILDREN'S HOSPITAL,0,0,,0,48,6,11.11%,54
MIAMI-DADE,120014,SOUTH FLORIDA EVALUATION AND TREATMENT CENTER,0,0,,0,0,0,,0
MIAMI-DADE,23960028,SELECT SPECIALTY HOSPITAL-MIAMI,5,0,0.00%,5,0,0,,0
MIAMI-DADE,23960064,WEST KENDALL BAPTIST HOSPITAL,9,3,25.00%,12,0,0,,0
MIAMI-DADE,23960094,SELECT SPECIALTY HOSPITAL-MIAMI LAKES,8,0,0.00%,8,0,0,,0
MIAMI-DADE,23960097,ST CATHERINE'S WEST REHABILITATION HOSPITAL,0,0,,0,0,0,,0
MONROE,100024,FISHERMEN'S COMMUNITY HOSPITAL,0,0,,0,0,0,,0
MONROE,100150,DEPOO HOSPITAL,0,0,,0,0,0,,0
MONROE,100160,MARINERS HOSPITAL,0,4,100.00%,4,0,0,,0
MONROE,100195,LOWER KEYS MEDICAL CENTER,5,5,50.00%,10,0,0,,0
NASSAU,100140,BAPTIST MEDICAL CENTER NASSAU,2,6,75.00%,8,0,0,,0
OKALOOSA,100054,TWIN CITIES HOSPITAL,7,1,12.50%,8,0,0,,0
OKALOOSA,100122,NORTH OKALOOSA MEDICAL CENTER,10,10,50.00%,20,0,0,,0
OKALOOSA,100223,FORT WALTON BEACH MEDICAL CENTER,25,1,3.85%,26,0,0,,0
OKALOOSA,111520,GULF COAST TREATMENT CENTER,0,0,,0,0,0,,0
OKALOOSA,23960106,"REHABILITATION INSTITUTE OF NORTHWEST FLORIDA, THE",0,0,,0,0,0,,0
OKEECHOBEE,100252,RAULERSON HOSPITAL,8,0,0.00%,8,0,0,,0
ORANGE,100006,ORLANDO HEALTH ORLANDO REGIONAL MEDICAL CENTER,50,0,0.00%,50,0,0,,0
ORANGE,100007,ADVENTHEALTH ORLANDO,133,101,43.16%,234,16,16,50.00%,32
ORANGE,100021,ADVENTHEALTH EAST ORLANDO,17,1,5.56%,18,0,0,,0
ORANGE,100030,ORLANDO HEALTH - HEALTH CENTRAL HOSPITAL,9,5,35.71%,14,0,0,,0
ORANGE,100129,ASPIRE HEALTH PARTNERS,0,0,,0,0,0,,0
ORANGE,100162,ADVENTHEALTH WINTER PARK,10,1,9.09%,11,0,0,,0
ORANGE,110047,UNIVERSITY BEHAVIORAL CENTER,0,0,,0,0,0,,0
ORANGE,110051,LA AMISTAD RESIDENTIAL TREATMENT CENTER,0,0,,0,0,0,,0
ORANGE,120001,ARNOLD PALMER MEDICAL CENTER,3,2,40.00%,5,31,3,8.82%,34
ORANGE,120002,ORLANDO HEALTH DR P PHILLIPS HOSPITAL,7,0,0.00%,7,0,0,,0
ORANGE,120003,ADVENTHEALTH APOPKA,7,3,30.00%,10,0,0,,0
ORANGE,23960043,SELECT SPECIALTY HOSPITAL - ORLANDO (NORTH CAMPUS),0,0,,0,0,0,,0
ORANGE,23960068,SELECT SPECIALTY HOSPITAL - ORLANDO (SOUTH CAMPUS),0,0,,0,0,0,,0
ORANGE,23960083,CENTRAL FLORIDA BEHAVIORAL HOSPITAL,0,0,,0,0,0,,0
ORANGE,23960096,NEMOURS CHILDREN'S HOSPITAL,0,0,,0,23,17,42.50%,40
OSCEOLA,100074,ST CLOUD REGIONAL MEDICAL CENTER,8,0,0.00%,8,0,0,,0
OSCEOLA,100089,ADVENTHEALTH KISSIMMEE,12,4,25.00%,16,0,0,,0
OSCEOLA,100110,OSCEOLA REGIONAL MEDICAL CENTER,30,10,25.00%,40,0,6,100.00%,6
OSCEOLA,23960017,ADVENTHEALTH CELEBRATION,14,6,30.00%,20,0,0,,0
OSCEOLA,23960111,POINCIANA MEDICAL CENTER,5,1,16.67%,6,0,0,,0
OSCEOLA,23960129,BLACKBERRY CENTER,0,0,,0,0,0,,0
PALM BEACH,100002,BETHESDA HOSPITAL EAST,20,19,48.72%,39,0,3,100.00%,3
PALM BEACH,100010,ST MARY'S MEDICAL CENTER,20,6,23.08%,26,9,4,30.77%,13
PALM BEACH,100080,JFK MEDICAL CENTER,61,9,12.86%,70,0,0,,0
PALM BEACH,100130,LAKESIDE MEDICAL CENTER,6,0,0.00%,6,0,0,,0
PALM BEACH,100168,BOCA RATON REGIONAL HOSPITAL,27,14,34.15%,41,0,0,,0
PALM BEACH,100176,PALM BEACH GARDENS MEDICAL CENTER,21,7,25.00%,28,0,0,,0
PALM BEACH,100234,JFK MEDICAL CENTER NORTH CAMPUS,6,4,40.00%,10,0,0,,0
PALM BEACH,100253,JUPITER MEDICAL CENTER,24,7,22.58%,31,0,0,,0
PALM BEACH,100258,DELRAY MEDICAL CENTER,34,26,43.33%,60,0,0,,0
PALM BEACH,104008,"THE JEROME GOLDEN CENTER FOR BEHAVIORAL HEALTH, INC",0,0,,0,0,0,,0
PALM BEACH,110006,PALMS WEST HOSPITAL,15,3,16.67%,18,6,4,40.00%,10
PALM BEACH,110008,WEST BOCA MEDICAL CENTER,11,2,15.38%,13,1,4,80.00%,5
PALM BEACH,110010,WELLINGTON REGIONAL MEDICAL CENTER,21,7,25.00%,28,0,0,,0
PALM BEACH,110403,GOOD SAMARITAN MEDICAL CENTER,13,3,18.75%,16,0,0,,0
PALM BEACH,23960072,SELECT SPECIALTY HOSPITAL- PALM BEACH,0,0,,0,0,0,,0
PALM BEACH,23960074,KINDRED HOSPITAL THE PALM BEACHES,8,2,20.00%,10,0,0,,0
PALM BEACH,23960098,BETHESDA HOSPITAL WEST,5,5,50.00%,10,0,0,,0
PASCO,100046,ADVENTHEALTH ZEPHYRHILLS,19,1,5.00%,20,0,0,,0
PASCO,100063,MORTON PLANT NORTH BAY HOSPITAL,12,2,14.29%,14,0,0,,0
PASCO,100191,MEDICAL CENTER OF TRINITY,12,20,62.50%,32,0,0,,0
PASCO,100211,ADVENTHEALTH DADE CITY,7,1,12.50%,8,0,0,,0
PASCO,100256,REGIONAL MEDICAL CENTER BAYONET POINT,49,11,18.33%,60,0,0,,0
PASCO,23960082,ADVENTHEALTH CONNERTON,0,0,,0,0,0,,0
PASCO,23960099,ADVENTHEALTH WESLEY CHAPEL,2,8,80.00%,10,0,0,,0
PASCO,23960102,MORTON PLANT NORTH BAY HOSPITAL RECOVERY CENTER,0,0,,0,0,0,,0
PASCO,23960110,MEDICAL CENTER OF TRINITY WEST PASCO CAMPUS,0,0,,0,0,0,,0
PASCO,23960114,NORTH TAMPA BEHAVIORAL HEALTH,0,0,,0,0,0,,0
PINELLAS,100015,LARGO MEDICAL CENTER - INDIAN ROCKS,0,0,,0,0,0,,0
PINELLAS,100032,BAYFRONT HEALTH ST PETERSBURG,28,13,31.71%,41,0,0,,0
PINELLAS,100043,MEASE DUNEDIN HOSPITAL,11,9,45.00%,20,0,0,,0
PINELLAS,100055,ADVENTHEALTH NORTH PINELLAS,5,1,16.67%,6,0,0,,0
PINELLAS,100067,ST ANTHONYS HOSPITAL,30,0,0.00%,30,0,0,,0
PINELLAS,100126,PALMS OF PASADENA HOSPITAL,6,12,66.67%,18,0,0,,0
PINELLAS,100127,MORTON PLANT HOSPITAL,51,8,13.56%,59,0,0,,0
PINELLAS,100180,ST PETERSBURG GENERAL HOSPITAL,17,4,19.05%,21,0,0,,0
PINELLAS,100238,NORTHSIDE HOSPITAL,21,23,52.27%,44,0,0,,0
PINELLAS,100248,LARGO MEDICAL CENTER,34,12,26.09%,46,0,0,,0
PINELLAS,100250,JOHNS HOPKINS ALL CHILDREN'S HOSPITAL,0,0,,0,28,5,15.15%,33
PINELLAS,104017,WINDMOOR HEALTHCARE OF CLEARWATER,0,0,,0,0,0,,0
PINELLAS,110001,MEASE COUNTRYSIDE HOSPITAL,22,4,15.38%,26,0,0,,0
PINELLAS,110045,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LARGO,0,0,,0,0,0,,0
PINELLAS,23960011,KINDRED HOSPITAL-BAY AREA-ST PETERSBURG,7,1,12.50%,8,0,0,,0
PINELLAS,23960085,BAYCARE ALLIANT HOSPITAL,0,0,,0,0,0,,0
POLK,100052,WINTER HAVEN HOSPITAL,28,5,15.15%,33,0,0,,0
POLK,100099,ADVENTHEALTH LAKE WALES,3,5,62.50%,8,0,0,,0
POLK,100121,BARTOW REGIONAL MEDICAL CENTER,8,4,33.33%,12,0,0,,0
POLK,100137,ADVENTHEALTH HEART OF FLORIDA,10,5,33.33%,15,0,0,,0
POLK,100157,LAKELAND REGIONAL MEDICAL CENTER,66,2,2.94%,68,0,0,,0
POLK,120010,WINTER HAVEN WOMEN'S HOSPITAL,0,0,,0,0,0,,0
PUTNAM,100232,PUTNAM COMMUNITY MEDICAL CENTER,6,4,40.00%,10,0,0,,0
SANTA ROSA,100048,JAY HOSPITAL,0,0,,0,0,0,,0
SANTA ROSA,100124,SANTA ROSA MEDICAL CENTER,5,8,61.54%,13,0,0,,0
SANTA ROSA,104027,WEST FLORIDA COMMUNITY CARE CENTER,0,0,,0,0,0,,0
SANTA ROSA,110003,GULF BREEZE HOSPITAL,6,2,25.00%,8,0,0,,0
