Name,Hospital Type,Address,Address_2,City,State,Zipcode,County,Latitude,Longitude,Staffed All Beds,Staffed ICU Beds,Licensed All Beds,All Bed Occupancy Rate,ICU Bed Occupancy Rate,Staffed All Beds - SOURCE,Staffed ICU Beds - SOURCE,Licensed All Beds - SOURCE,All Bed Occupancy Rate - SOURCE,ICU Bed Occupancy Rate - SOURCE,CCM_ID,DH-ID,HCRIS-ID,HIFLD-ID
TRINITY MEDICAL CENTER - 7TH STREET CAMPUS - DBA TRINITY MOLINE,GENERAL ACUTE CARE,"500 JOHN DEERE ROAD, 7TH STREET CAMPUS",,MOLINE,IL,61265,ROCK ISLAND,41.46830740300003,-90.53097969099994,,,,,,None,None,,None,None,100361265,,,100361265
TROUSDALE MEDICAL CENTER,CRITICAL ACCESS,500 CHURCH STREET,,HARTSVILLE,TN,37074,TROUSDALE,36.387832550000034,-86.16815992699998,25.0,,25.0,0.14,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,10037074,3545,441301,10037074
TALLAHATCHIE GENERAL HOSPITAL,CRITICAL ACCESS,201 SOUTH MARKET STREET,PO BOX 230,CHARLESTON,MS,38921,TALLAHATCHIE,34.00405633800005,-90.05883232699993,9.0,,18.0,1.38,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,10038921,4460,251304,10038921
YORK HOSPITAL,GENERAL ACUTE CARE,15 HOSPITAL DRIVE,,YORK,ME,3909,YORK,43.14251791900006,-70.65175415799996,66.0,5.0,79.0,0.53,0.67,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1003909,1746,200020,1003909
ST. ELIZABETH FLORENCE,GENERAL ACUTE CARE,4900 HOUSTON ROAD,,FLORENCE,KY,41042,BOONE,39.016591818000045,-84.63076720499998,126.0,18.0,231.0,0.78,0.64,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10041042,1531,180045,10041042
TRINITY MEDICAL CTR EAST,GENERAL ACUTE CARE,380 SUMMIT AVENUE,,STEUBENVILLE,OH,43952,JEFFERSON,40.35475552900004,-80.62549637999997,,,244.0,,,None,None,HIFLD-BEDS,None,None,10043952,,,10043952
VALLEY WEST COMMUNITY HOSPITAL,CRITICAL ACCESS,1302 NORTH MAIN STREET,,SANDWICH,IL,60548,DEKALB,41.657190128,-88.62073481899996,25.0,4.0,25.0,0.196932,,DH-NUM_STAFFE,DH-NUM_ICU_BE,DH-NUM_LICENS,DH-BED_UTILIZ,None,100460548,1083,,100460548
OAKLAWN PSYCHIATRIC CENTER INC,PSYCHIATRIC,330 LAKEVIEW DR,,GOSHEN,IN,46527,ELKHART,41.603604119000074,-85.839485402,16.0,0.0,16.0,0.8208904109589041,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10046527,4599,154031,10046527
DMC SURGERY HOSPITAL,GENERAL ACUTE CARE,30671 STEPHENSON HIGHWAY,,MADISON HEIGHTS,MI,48071,OAKLAND,42.51788753700004,-83.120107267,,,36.0,,,None,None,HIFLD-BEDS,None,None,10048071,,,10048071
AMERY REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE,265 GRIFFIN STREET EAST,,AMERY,WI,54001,POLK,45.296828098000056,-92.360915832,25.0,,25.0,0.32,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,10054001,4198,521308,10054001
NORTHWESTERN MEDICAL CENTER,GENERAL ACUTE CARE,133 FAIRFIELD ST,,ST. ALBANS,VT,5478,FRANKLIN,44.807739617000024,-73.07251308599997,53.0,,70.0,0.4,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,1005478,3907,470024,1005478
MADELIA COMMUNITY HOSPITAL,CRITICAL ACCESS,121 DREW AVENUE SOUTHEAST,,MADELIA,MN,56062,WATONWAN,44.049262439000074,-94.40986768,25.0,,25.0,0.13,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,10056062,2091,241323,10056062
NORWEGIAN-AMERICAN HOSPITAL,GENERAL ACUTE CARE,1044 N FRANCISCO AVE,,CHICAGO,IL,60622,COOK,41.90079983800005,-87.69909547699997,173.0,12.0,215.0,0.49,0.72,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10060622,1043,140206,10060622
HOSP METROPOLITANO DR SUSONI,GENERAL ACUTE CARE,55 NICOMEDES RIVERA STREET,,ARECIBO PUEBLO,PR,614,ARECIBO,18.473288479000093,-66.71691497099994,120.0,6.0,120.0,0.7,0.86,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,100614,4274,400117,100614
PIKE COUNTY MEMORIAL HOSPITAL,CRITICAL ACCESS,2305 GEORGIA STREET,,LOUISIANA,MO,63353,PIKE,39.44066438100003,-91.06478066499994,25.0,,25.0,0.17,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,10063353,2244,261333,10063353
OSAWATOMIE STATE HOSPITAL PSYCHIATRIC,PSYCHIATRIC,500 STATE HOSPITAL DRIVE,,OSAWATOMIE,KS,66064,MIAMI,38.513615535000035,-94.93994271099994,160.0,106.0,206.0,0.8596061643835616,0.9055569914706643,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10066064,5367,174022,10066064
CHARLOTTE HUNGERFORD HOSPITAL,GENERAL ACUTE CARE,540 LITCHFIELD ST,,TORRINGTON,CT,6790,LITCHFIELD,41.791838302000016,-73.13311932099998,91.0,10.0,91.0,0.59,0.46,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1006790,667,070011,1006790
METHODIST WOMEN'S HOSPITAL,WOMEN,707 NORTH 190TH PLAZA,,ELKHORN,NE,68022,DOUGLAS,41.264639566000014,-96.21228905699995,153.0,,153.0,,,DH-NUM_STAFFE,None,DH-NUM_STAFFE,None,None,10068022,5731,,10068022
LONGLEAF HOSPITAL,PSYCHIATRIC,44 VERSAILLES BLVD,,ALEXANDRIA,LA,71303,RAPIDES,31.29197915800005,-92.50488278399996,92.0,0.0,92.0,0.9102144133412746,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10071303,4370,194022,10071303
DREW MEMORIAL HOSPITAL,GENERAL ACUTE CARE,778 SCOGIN DRIVE,,MONTICELLO,AR,71655,DREW,33.610884587000044,-91.81679406599994,49.0,5.0,49.0,0.44,0.37,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10071655,216,040051,10071655
ARBUCKLE MEMORIAL HOSPITAL,CRITICAL ACCESS,2011 WEST BROADWAY STREET,,SULPHUR,OK,73086,MURRAY,34.504988302000065,-96.99613711599994,25.0,,25.0,0.65,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,10073086,3076,371328,10073086
CEDAR PARK REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE,1401 MEDICAL PARKWAY,,CEDAR PARK,TX,78613,WILLIAMSON,30.532362714000048,-97.81219095399995,93.0,12.0,108.0,0.56,0.31,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10078613,3855,670043,10078613
ROY LESTER SCHNEIDER HOSPITAL,GENERAL ACUTE CARE,9048 SUGAR ESTATE,,ST THOMAS,VI,801,NOT AVAILABLE,18.340605,-64.914717,107.0,8.0,169.0,0.31,0.54,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,HIFLD-BEDS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,100801,,480001,100801
NORTHERN COLORADO REHABILITATION HOSPITAL,REHABILITATION,4401 UNION STREET,,JOHNSTOWN,CO,80534,LARIMER,40.406238,-104.971311,40.0,0.0,40.0,0.8829452054794521,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10080534,4987,063033,10080534
MARYVILLE INCORPORATED,SPECIAL,1903 GRANT AVENUE,,WILLIAMSTOWN,NJ,8094,GLOUCESTER,39.63547458100004,-75.03510387699998,,,68.0,,,None,None,HIFLD-BEDS,None,None,1008094,,,1008094
WICKENBURG COMMUNITY HOSPITAL,GENERAL ACUTE CARE,520 ROSE LANE,,WICKENBURG,AZ,85390,MARICOPA,33.978363743000045,-112.73993184199995,19.0,,19.0,0.15,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,10085390,162,031300,10085390
DESERT REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE,1150 NORTH INDIAN CANYON DRIVE,,PALM SPRINGS,CA,92262,RIVERSIDE,33.83866785300006,-116.54345356999991,325.0,31.0,353.0,0.74,0.88,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10092262,452,050243,10092262
WASHINGTON COUNTY HOSPITAL,CRITICAL ACCESS,705 SOUTH GRAND AVENUE,,NASHVILLE,IL,62263,WASHINGTON,38.33894250100008,-89.39127928499997,22.0,,50.0,0.22,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,100962263,5071,141308,100962263
OVERLAKE HOSPITAL MEDICAL CENTER,GENERAL ACUTE CARE,1035 116TH AVE NE,,BELLEVUE,WA,98004,KING,47.62049135300004,-122.18717515299996,286.0,32.0,349.0,0.611764,,DH-NUM_STAFFE,DH-NUM_ICU_BE,DH-NUM_LICENS,DH-BED_UTILIZ,None,10098004,4030,,10098004
DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER,PSYCHIATRIC,85 EAST NEWTON ST,,BOSTON,MA,2118,SUFFOLK,42.336267126000045,-71.07069041999993,60.0,0.0,60.0,0.96,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10102118,5895,224040,10102118
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,GENERAL ACUTE CARE,865 STONE STREET,,RAHWAY,NJ,7065,UNION,40.612852454000056,-74.29105085799995,122.0,15.0,251.0,0.56,,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,10107065,2527,310024,10107065
NYACK HOSPITAL,GENERAL ACUTE CARE,160 N MIDLAND AVE,,NYACK,NY,10960,ROCKLAND,41.09621147100006,-73.92601813199997,209.0,,391.0,0.74,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,10110960,2694,330104,10110960
MONONGAHELA VALLEY HOSPITAL,GENERAL ACUTE CARE,1163 COUNTRY CLUB ROAD,,MONONGAHELA,PA,15063,WASHINGTON,40.182206,-79.91121600099996,132.0,16.0,200.0,0.51,0.75,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10115063,3334,390147,10115063
HENRICO DOCTORS' HOSPITAL,GENERAL ACUTE CARE,1602 SKIPWITH ROAD,,RICHMOND,VA,23229,HENRICO,37.60437941800006,-77.53988566599996,685.0,53.0,767.0,0.44,0.17,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10123229,3940,490118,10123229
GOOD SAMARITAN REGIONAL HEALTH CENTER,GENERAL ACUTE CARE,1 GOOD SAMARITAN WAY,,MT. VERNON,IL,62864,JEFFERSON,38.29741769800006,-88.93858038499997,124.0,15.0,134.0,0.62,0.43,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,101262864,1105,140046,101262864
SCOTLAND MEMORIAL HOSPITAL AND EDWIN MORGAN CENTER,GENERAL ACUTE CARE,500 LAUCHWOOD DRIVE,,LAURINBURG,NC,28352,SCOTLAND,34.75316917900006,-79.46980141099993,97.0,8.0,104.0,0.57,0.51,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10128352,2825,340008,10128352
FAIRFIELD MEMORIAL HOSPITAL,CRITICAL ACCESS,102 US HWY 321 BYP N,,WINNSBORO,SC,29180,FAIRFIELD,34.37265049300004,-81.09911485599996,25.0,0.0,25.0,0.001863013698630137,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,HIFLD-BEDS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10129180,,421302,10129180
PERRY HOSPITAL,GENERAL ACUTE CARE,1120 MORNINGSIDE DRIVE,,PERRY,GA,31069,HOUSTON,32.45962323500003,-83.71002551799995,39.0,4.0,39.0,0.48,0.54,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10131069,938,110153,10131069
PROVIDENCE HOSPITAL,GENERAL ACUTE CARE,6801 AIRPORT BOULEVARD,,MOBILE,AL,36685,MOBILE,30.67932765700005,-88.19907937399996,349.0,53.0,349.0,0.56,0.65,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10136685,79,010090,10136685
UNICOI COUNTY MEMORIAL HOSPITAL,GENERAL ACUTE CARE,100 GREENWAY CIRCLE,,ERWIN,TN,37650,UNICOI,36.13362071900006,-82.41305158299998,,,83.0,,,None,None,HIFLD-BEDS,None,None,10137650,,,10137650
NORTH OAK REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE,401 GETWELL DRIVE,,SENATOBIA,MS,38668,TATE,34.62461972800002,-89.95627267999998,,,76.0,,,None,None,HIFLD-BEDS,None,None,10138668,,,10138668
BROOKS MEMORIAL HOSPITAL,GENERAL ACUTE CARE,529 CENTRAL AVE,,DUNKIRK,NY,14048,CHAUTAUQUA,42.47994514100003,-79.33459460199998,45.0,3.0,65.0,0.62,1.11,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,1014048,2584,330229,1014048
ST. ELIZABETH FT. THOMAS,GENERAL ACUTE CARE,85 NORTH GRAND AVENUE,,FT. THOMAS,KY,41075,CAMPBELL,39.07866072300004,-84.46767750699995,123.0,21.0,178.0,0.68,0.45,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10141075,1539,180001,10141075
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,GENERAL ACUTE CARE,3999 RICHMOND ROAD,,BEACHWOOD,OH,44122,CUYAHOGA,41.45219887200005,-81.49469356899993,137.0,20.0,144.0,0.68,0.51,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10144122,5606,360359,10144122
OPTIONS BEHAVIORAL HEALTH SYSTEM,PSYCHIATRIC,5602 CAITO DRIVE,,INDIANAPOLIS,IN,46226,MARION,39.855761569000016,-86.04373859,66.0,0.0,66.0,0.648316386064344,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10146226,6047,154057,10146226
BEAUMONT HOSPITAL FARMINGTON HILLS,GENERAL ACUTE CARE,28050 GRAND RIVER AVENUE,,FARMINGTON HILLS,MI,48336,OAKLAND,42.446340031000034,-83.32365014,256.0,24.0,305.0,0.62,0.62,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10148336,1922,230151,10148336
SELECT SPECIALTY HOSPITAL MCKEESPORT,LONG TERM CARE,1500 FIFTH AVENUE  6 CRAWFORD,Crawford Bldg 6th Fl,MCKEESPORT,PA,15132,ALLEGHENY,40.35057656100001,-79.84927747899998,30.0,,30.0,0.6649315,,DH-NUM_STAFFE,None,DH-NUM_LICENS,DH-BED_UTILIZ,None,1015132,5545,,1015132
GENESIS MEDICAL CENTER-DAVENPORT,GENERAL ACUTE CARE,1227 EAST RUSHOLME STREET,,DAVENPORT,IA,52803,SCOTT,41.54216796700007,-90.55725740099994,295.0,29.0,502.0,0.56,0.44,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10152803,1398,160033,10152803
ARMC BEHAVIORAL HEALTH CENTER,PSYCHIATRIC,230 DERONDA STREET,,AMERY,WI,54001,POLK,45.302448416000054,-92.36616470999996,,,10.0,,,None,None,HIFLD-BEDS,None,None,10154001,,,10154001
MENDOTA COMMUNITY HOSPITAL,CRITICAL ACCESS,1401 EAST 12TH STREET,,MENDOTA,IL,61342,LA SALLE,41.55305290500007,-89.08780775299994,25.0,4.0,25.0,0.26,0.02,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,101561342,1124,141310,101561342
SANFORD CANBY MEDICAL CENTER,CRITICAL ACCESS,112 ST OLAF AVENUE SOUTH,,CANBY,MN,56220,YELLOW MEDICINE,44.707821532000025,-96.27844799099995,22.0,,25.0,0.17,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,10156220,2097,241347,10156220
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,GENERAL ACUTE CARE,4440 W 95TH STREET,,OAK LAWN,IL,60453,COOK,41.721694517000046,-87.73244224499996,706.0,123.0,788.0,0.88,0.74,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10160453,1044,140208,10160453
ST. LUKE'S NORTHLAND HOSPITAL - BARRY ROAD,GENERAL ACUTE CARE,5830 NW  BARRY ROAD,,KANSAS CITY,MO,64154,PLATTE,39.24898899400005,-94.648329066,118.0,,118.0,0.67,,HCRIS-Total Staffed Beds,None,HCRIS-Total Staffed Beds,HCRIS-Total Bed Occupancy Rate,None,10164154,2245,260062,10164154
OSBORNE COUNTY MEMORIAL HOSPITAL,GENERAL ACUTE CARE,424 W NEW HAMPSHIRE,,OSBORNE,KS,67473,OSBORNE,39.43717594600003,-98.70148390999998,24.0,,25.0,0.16,,HCRIS-Total Staffed Beds,None,HIFLD-BEDS,HCRIS-Total Bed Occupancy Rate,None,10167473,,171364,10167473
SELECT SPECIALTY HOSPITAL - OMAHA (CENTRAL CAMPUS),GENERAL ACUTE CARE,1870 SOUTH 75TH STREET,,OMAHA,NE,68124,DOUGLAS,41.24084597700004,-96.03020737099995,52.0,0.0,52.0,0.5534246575342465,0.0,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10168124,5282,282001,10168124
LOUISIANA HEART HOSPITAL,SPECIAL,64030 HIGHWAY 434,,LACOMBE,LA,70445,ST. TAMMANY,30.35756056100007,-89.91543950899998,137.0,58.0,137.0,0.259538,,DH-NUM_STAFFE,DH-NUM_ICU_BE,DH-NUM_LICENS,DH-BED_UTILIZ,None,10170445,1697,,10170445
WHITE COUNTY MEDICAL CENTER - NORTH CAMPUS,GENERAL ACUTE CARE,3214 EAST RACE AVENUE,,SEARCY,AR,72143,WHITE,35.25188604400005,-91.69700113099998,205.0,13.0,245.0,0.68,0.7,HCRIS-Total Staffed Beds,HCRIS-ICU Total Staffed Beds,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,HCRIS-ICU Occupancy Rate,10172143,261,040014,10172143
ATOKA COUNTY MEDICAL CENTER,CRITICAL ACCESS,1200 W LIBERTY RD,,ATOKA,OK,74525,ATOKA,34.392532300000035,-96.15144053999997,25.0,,25.0,0.3,,HCRIS-Total Staffed Beds,None,DH-NUM_LICENS,HCRIS-Total Bed Occupancy Rate,None,10174525,3020,371300,10174525
DIMMIT COUNTY MEMORIAL HOSPITAL,GENERAL ACUTE CARE,704 HOSPITAL DRIVE,,CARRIZO SPRINGS,TX,78834,DIMMIT,28.51923470900005,-99.86339755599995,25.0,,25.0,0.206,,DH-NUM_STAFFE,None,DH-NUM_LICENS,DH-BED_UTILIZ,None,10178834,3646,,10178834
WRAY COMMUNITY DISTRICT HOSPITAL,CRITICAL ACCESS,1017 W 7TH ST,,WRAY,CO,80758,YUMA,40.07620337400005,-102.23499660599998,16.0,,16.0,0.3,,HCRIS-Total Staffed Beds,None,HCRIS-Total Staffed Beds,HCRIS-Total Bed Occupancy Rate,None,10180758,650,061309,10180758
