,Provider Number,FYB,FYE,STATUS,CTRL_TYPE,HOSP10_Name,Street_Addr,PO_Box,City,State,Zip_Code,County,Hospital Adult and Peds Staffed Beds,Hospital Adult and Peds Bed Days Available,Hospital Adult and Peds Inpatient Days,Intensive Care Unit Staffed Beds,Intensive Care Unit Bed Days Available,Intensive Care Unit Inpatient Days,Coronary Care Unit Staffed Beds,Coronary Care Unit Bed Days Available,Coronary Care Unit Inpatient Days,Burn ICU Staffed Beds,Burn ICU Bed Days Available,Burn ICU Inpatient Days,Surgical ICU Staffed Beds,Surgical ICU Bed Days Available,Surgical ICU Inpatient Days,Total Staffed Beds,Total Bed Days Available,Total Inpatient Days,ICU Total Staffed Beds,ICU Total Bed Days Available,ICU Total Inpatient Days,ICU Occupancy Rate,Total Bed Occupancy Rate,geometry
119,013033,01-JUN-18,31-MAY-19,As Submitted,5,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 N,NaN,PHENIX CITY,AL,36867,RUSSELL,58.0,21170.0,20219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,21170.0,20219.0,0.0,0.0,0.0,0.0,0.9550779404818139,POINT (-85.03 32.49)
125,014007,01-JUL-18,30-JUN-19,As Submitted,10,BRYCE HOSPITAL,1651 RUBY TYLER PARKWAY,NaN,TUSCALOOSA,AL,35404-2990,TUSCALOOSA,98.0,35770.0,34961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,35770.0,34961.0,0.0,0.0,0.0,0.0,0.9773832820799553,POINT (-87.51510089999999 33.2073156)
129,014012,01-OCT-17,30-SEP-18,As Submitted,10,MARY S HARPER GERIATRIC PSYCH CEN,201 UNIVERSITY BOULEVARD,21231,TUSCALOOSA,AL,35402-,TUSCALOOSA,126.0,45990.0,33009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,45990.0,33009.0,0.0,0.0,0.0,0.0,0.7177429876060013,POINT (-87.53797109999999 33.2081216)
141,020018,01-OCT-17,30-SEP-18,As Submitted,7,YK DELTA REGIONAL HOSPITAL,SUTE 3000,287,BETHEL,AK,99559,BETHEL,34.0,12410.0,4963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,12410.0,4963.0,0.0,0.0,0.0,0.0,0.3999194198227236,POINT (-161.7873258 60.7879206)
146,021302,01-JAN-18,31-DEC-18,As Submitted,1,PROVIDENCE SEWARD MEDICAL & CARE CEN,417 1ST AVENUE,365,SEWARD,AK,99664-0365,KENAI PENINSULA BOROUGH,6.0,2190.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2190.0,463.0,0.0,0.0,0.0,0.0,0.21141552511415526,POINT (-149.4463118 60.10497479999999)
149,021305,01-JUL-18,31-OCT-18,As Submitted,12,WRANGELL MEDICAL CENTER,310 BENNETT STREET,1081,WRANGELL,AK,99929-,WRANGELL,8.0,984.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,984.0,195.0,0.0,0.0,0.0,0.0,0.19817073170731708,POINT (-132.3760425 56.471571)
152,021308,01-OCT-17,30-SEP-18,Amended,2,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK,966,NOME,AK,99762-,NOME BOROUGH,18.0,6570.0,1474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6570.0,1911.0,0.0,0.0,0.0,0.0,0.2908675799086758,POINT (-165.3784042 64.4992304)
156,021312,01-OCT-17,30-SEP-18,As Submitted,7,SAMUEL SIMMONDS MEMORIAL HOSPITAL,1296 AGVIK STREET,29,BARROW,AK,99723,NORTH SLOPE BOROUGH,20.0,7320.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7320.0,485.0,0.0,0.0,0.0,0.0,0.0662568306010929,POINT (-156.7789805 71.2926476)
178,030037,01-JUN-18,31-MAY-19,As Submitted,6,ST. LUKES MEDICAL CENTER,1800 EAST VAN BUREN STREET,NaN,PHOENIX,AZ,85006,MARICOPA,141.0,51645.0,13949.0,30.0,10950.0,4925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,62595.0,18895.0,30.0,10950.0,4925.0,0.4497716894977169,0.3018611710200495,POINT (-112.0423562 33.4544851)
191,030074,01-OCT-17,30-SEP-18,As Submitted,7,TON,HWY 86 & TOPAWA RD,548,SELLS,AZ,85634-0548,PIMA,14.0,5110.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5110.0,981.0,0.0,0.0,0.0,0.0,0.19197651663405088,POINT (-112.0240216 32.0483892)
195,030084,01-OCT-17,30-SEP-18,As Submitted,7,CHINLE COMPREHENSIVE CARE FACILITY,1 MILE N OF HWY 191,DRAWER PH,CHINLE,AZ,86503,NAVAJO,60.0,21900.0,4737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,21900.0,4737.0,0.0,0.0,0.0,0.0,0.2163013698630137,POINT (-109.6076963 36.1575812)
207,030107,01-JAN-18,31-DEC-18,Amended,4,AZ SPINE & JOINT HOSPITAL,4620 EAST BASELINE ROAD,NaN,MESA,AZ,85206,MARICOPA,23.0,8395.0,2064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8395.0,2064.0,0.0,0.0,0.0,0.0,0.24586063132817154,POINT (-111.9960458 33.2971611)
231,030137,25-JUL-18,31-DEC-18,As Submitted,4,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 I-19 FRONTAGE ROAD,NaN,GREEN VALLEY,AZ,85614,PIMA,43.0,6880.0,1603.0,6.0,960.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7840.0,2492.0,6.0,960.0,365.0,0.3802083333333333,0.31785714285714284,POINT (-111.0099276 31.8067797)
237,031305,01-OCT-17,30-SEP-18,As Submitted,7,HOPI HEALTH CENTER,HIGHWAY 264,400,POLACCA,AZ,86042,NAJAVO,6.0,2190.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2190.0,449.0,0.0,0.0,0.0,0.0,0.2050228310502283,POINT (-110.4260281 35.8022226)
240,031309,01-OCT-17,30-SEP-18,As Submitted,2,SAGE MEMORIAL HOSPITAL,HIGHWAY 264,NaN,GANADO,AZ,86505,APACHE,25.0,9125.0,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,1894.0,0.0,0.0,0.0,0.0,0.20756164383561643,POINT (-109.5435396 35.710794)
248,031318,23-JUL-18,31-DEC-18,As Submitted,2,BANNER PAYSON MEDICAL CENTER,807 S. PONDEROSA,NaN,PAYSON,AZ,85541,GILA,21.0,3402.0,1281.0,4.0,648.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4050.0,1727.0,4.0,648.0,209.0,0.32253086419753085,0.4264197530864198,POINT (-111.320838 34.2299506)
253,032005,01-JUN-18,31-MAY-19,As Submitted,4,SSH - ARIZONA  INC.,1012 EAST WILETTA  4TH FLOOR,NaN,PHOENIX,AZ,85006-2749,MARICOPA,33.0,12045.0,8733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,12045.0,8733.0,0.0,0.0,0.0,0.0,0.7250311332503113,POINT (-112.0535987 33.4636012)
277,034024,01-JAN-18,31-DEC-18,As Submitted,4,AURORA BHS OF ARIZONA,6015 WEST PERIOA AVENUE,NaN,GLENDALE,AZ,85302-1213,MARICOPA,100.0,36500.0,30632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,36500.0,30632.0,0.0,0.0,0.0,0.0,0.8392328767123287,POINT (-112.1728283 33.5690908)
287,040001,01-APR-18,31-MAR-19,As Submitted,4,SILOAM SPRINGS MEMORIAL HOSPITAL,205 EAST JEFFERSON,NaN,SILOAM SPRINGS,AR,72761,BENTON,38.0,13870.0,3299.0,6.0,2190.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,16060.0,4830.0,6.0,2190.0,575.0,0.2625570776255708,0.30074719800747196,POINT (-94.5403771 36.1817224)
356,041322,01-JUL-18,30-JUN-19,As Submitted,9,FULTON COUNTY HOSPITAL,679 N. MAIN STREET,NaN,SALEM,AR,72576,FULTON,25.0,9125.0,1858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,3773.0,0.0,0.0,0.0,0.0,0.4134794520547945,POINT (-91.8104769 36.3831443)
369,042009,01-JUN-18,31-MAY-19,As Submitted,4,RH OF NORTHWESTARKANSAS  LLC,609 WEST MAPLE AVENUE 6TH FLOOR,NaN,SPRINGDALE,AR,72764-4335,WASHINGTON,25.0,9125.0,6466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,6466.0,0.0,0.0,0.0,0.0,0.7086027397260274,POINT (-94.13682290000001 36.18013970000001)
372,042012,01-JAN-18,31-DEC-18,As Submitted,2,BAPTIST HEALTH EXTENDED CARE,9601 BAPTIST HEALTH DRIVE,NaN,LITTLE ROCK,AR,72205-7299,PULASKI,64.0,23360.0,10930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,23360.0,10930.0,0.0,0.0,0.0,0.0,0.4678938356164384,POINT (-92.38145799999999 34.7445622)
373,042013,01-JUL-18,30-JUN-19,As Submitted,6,CONTINUED CARE HOSPITAL JONESBORO,3024 RED WOLF BLVD,SUITE 1,JONESBORO,AR,72401,CRAIGHEAD,44.0,16060.0,6414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,16060.0,6414.0,0.0,0.0,0.0,0.0,0.39937733499377337,POINT (-90.6665363 35.8084361)
374,043026,01-JAN-18,31-DEC-18,As Submitted,2,BAPTIST HEALTH REHABILITATION INSTIT,9601  BAPTIST HEALTH DRIVE,NaN,LITTLE ROCK,AR,72205,PULASKI,120.0,43800.0,18405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,43800.0,18405.0,0.0,0.0,0.0,0.0,0.4202054794520548,POINT (-92.3794765 34.7450082)
381,043034,01-NOV-17,31-OCT-18,As Submitted,5,SOUTHEAST REHABILITATION HOSPITAL,905 BORGOGNONI ROAD,NaN,LAKE VILLAGE,AR,71653,CHICOT,10.0,4250.0,2361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4250.0,2361.0,0.0,0.0,0.0,0.0,0.5555294117647058,POINT (-91.2903316 33.3147629)
389,044011,01-JUL-18,30-JUN-19,As Submitted,10,ARKANSAS STATE HOSPITAL,305 SOUTH PALM,4096,LITTLE ROCK,AR,72205-4096,PULASKI,230.0,83950.0,76169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,83950.0,76169.0,0.0,0.0,0.0,0.0,0.9073138773079213,POINT (-92.32433930000001 34.7508326)
392,044019,01-JAN-18,31-DEC-18,As Submitted,4,SPRINGWOODS BEHAVIORAL,1955 W. TRUCKERS DRIVE,NaN,FAYETTEVILLE,AR,72704,WASHINGTON,80.0,29200.0,14668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,29200.0,14668.0,0.0,0.0,0.0,0.0,0.5023287671232877,POINT (-94.186964 36.108438)
393,044020,01-JAN-18,31-DEC-18,As Submitted,4,VISTA HEALTH TEXARKANA,701 ARKASAS BLVD,NaN,TEXARKANA,AR,72854,MILLER,50.0,18250.0,11282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,18250.0,11282.0,0.0,0.0,0.0,0.0,0.6181917808219178,POINT (-94.0419146 33.4258179)
395,044022,23-MAR-18,31-DEC-18,As Submitted,4,CONWAY BEHAVIORAL HEALTH,2255 STURGIS ROAD,NaN,CONWAY,AR,72034,FAULKNER,80.0,22720.0,11473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,22720.0,11473.0,0.0,0.0,0.0,0.0,0.5049735915492958,POINT (-92.42329220000001 35.0380029)
421,050054,01-JUL-18,30-JUN-19,As Submitted,11,SAN GORGONIO MEMORIAL,600 NORTH HIGHLAND SPRINGS AVE,NaN,BANNING,CA,92220-,SAN BERNARDINO,55.0,20075.0,8813.0,6.0,2190.0,1178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,22265.0,10460.0,6.0,2190.0,1178.0,0.5378995433789955,0.469795643386481,POINT (-117.2898 34.1083)
433,050073,01-JAN-18,31-DEC-18,As Submitted,2,KFH - VALLEJO,975 SERRANO DRIVE,NaN,VALLEJO,CA,94589-,SOLANO,160.0,58400.0,28038.0,40.0,14600.0,2849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,73000.0,34738.0,40.0,14600.0,2849.0,0.19513698630136986,0.47586301369863016,POINT (-122.2710602 38.1457572)
442,050090,01-JUL-18,30-JUN-19,As Submitted,11,SONOMA VALLEY HEALTH CARE DISTRICT,347 ANDRIEUX STREET,NaN,SONOMA,CA,94576,SONOMA,42.0,15330.0,2866.0,6.0,2190.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,17520.0,3940.0,6.0,2190.0,971.0,0.44337899543378995,0.22488584474885845,POINT (-122.4744453 38.2987344)
476,050139,01-JAN-18,31-DEC-18,As Submitted,2,KFH - DOWNEY,9400 ROSECRANS AVENUE,NaN,BELLFLOWER,CA,90706-,LOS ANGELES,265.0,96725.0,47661.0,38.0,13870.0,5425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,128480.0,70158.0,38.0,13870.0,5425.0,0.3911319394376352,0.5460616438356164,POINT (-118.1333891 33.9026177)
521,050257,01-JAN-18,31-DEC-18,As Submitted,5,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,901 OLIVE DRIVE,NaN,BAKERSFIELD,CA,93308,KERN,39.0,14235.0,4581.0,4.0,1460.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15695.0,4611.0,4.0,1460.0,30.0,0.02054794520547945,0.29378783051927365,POINT (-119.0398197 35.411682)
534,050291,01-JAN-18,31-DEC-18,As Submitted,2,SUTTER SANTA ROSA REGIONAL HOSPITAL,30 MARK WEST SPRINGS ROAD,NaN,SANTA ROSA,CA,95403,SONOMA,60.0,21900.0,19251.0,12.0,4380.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,30660.0,28594.0,12.0,4380.0,4100.0,0.9360730593607306,0.9326157860404436,POINT (-122.7510442 38.4952463)
566,050376,01-JUL-18,30-JUN-19,As Submitted,9,HARBOR-UCLA MEDICAL CENTER,1000 WEST CARSON STREET,NaN,TORRANCE,CA,90509,LOS ANGELES,311.0,113515.0,71814.0,46.0,16790.0,11681.0,6.0,2190.0,1689.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,142350.0,90535.0,52.0,18980.0,13370.0,0.7044257112750263,0.6360028099754127,POINT (-118.2947265 33.8298097)
601,050498,01-JAN-18,31-DEC-18,As Submitted,2,SUTTER AUBURN FAITH HOSPITAL,11815 EDUCATION STREET,NaN,AUBURN,CA,95604-,NaN,56.0,20440.0,8957.0,8.0,2920.0,1308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,23360.0,10265.0,8.0,2920.0,1308.0,0.44794520547945205,0.4394263698630137,POINT (-121.1008328 38.9452457)
602,050502,01-JUL-18,30-JUN-19,As Submitted,2,ST. VINCENT MEDICAL CENTER,2131 WEST 3RD STREET,NaN,LOS ANGELES,CA,90057,LOS ANGELES,253.0,92345.0,38696.0,67.0,24455.0,5133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,116800.0,43829.0,67.0,24455.0,5133.0,0.20989572684522592,0.37524828767123286,POINT (-118.2736684 34.063829)
605,050510,01-JAN-18,31-DEC-18,As Submitted,2,KFH - SAN RAFAEL,99 MONTICELLO ROAD,NaN,SAN RAFAEL,CA,94063-,MARIN,104.0,37960.0,12880.0,12.0,4380.0,2122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,42340.0,15002.0,12.0,4380.0,2122.0,0.48447488584474885,0.3543221539914974,POINT (-122.5331934 37.9658859)
638,050597,01-JAN-18,31-DEC-18,As Submitted,2,EMANATE HEALTH FOOTHILL PRESB. HOSP.,250 SOUTH GRAND AVENUE,NaN,GLENDORA,CA,91740,LOS ANGELES,87.0,31755.0,18539.0,18.0,6570.0,4220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,38325.0,24141.0,18.0,6570.0,4220.0,0.6423135464231354,0.6299021526418787,POINT (-117.8712996 34.1328165)
646,050624,01-OCT-17,30-SEP-18,Amended,2,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,23845 MCBEAN PARKWAY,NaN,VALENCIA,CA,91355-,LOS ANGELES,167.0,60955.0,39929.0,18.0,6570.0,4865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,71540.0,49029.0,18.0,6570.0,4865.0,0.7404870624048706,0.6853368744758177,POINT (-118.5539446 34.39787)
666,050701,01-JAN-18,31-DEC-18,As Submitted,4,SOUTHWEST HEALTHCARE SYSTEM,36485 INLAND VALLEY DRIVE,NaN,WILDOMAR,CA,92595-,RIVERSIDE,215.0,78475.0,43101.0,25.0,9125.0,4263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,87600.0,52738.0,25.0,9125.0,4263.0,0.4671780821917808,0.6020319634703196,POINT (-117.2375905 33.591668)
691,050751,01-JAN-18,31-DEC-18,As Submitted,6,MIRACLE MILE MEDICAL CENTER,MIRACLE MILE MEDICAL CENTER,NaN,6000 SAN VICENTE BOULEVARD,CA,90036-4404,USA,17.0,6205.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6205.0,421.0,0.0,0.0,0.0,0.0,0.06784850926672038,POINT (-118.3624846 34.0573546)
699,050763,01-JAN-18,31-DEC-18,As Submitted,4,SILVER LAKE MEDICAL CENTER,1711 WEST TEMPLE STREET,NaN,LOS ANGELES,CA,92006-5421,LOS ANGELES,222.0,81030.0,52770.0,12.0,4380.0,1421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,85410.0,54191.0,12.0,4380.0,1421.0,0.32442922374429223,0.634480739960192,POINT (-118.2075585 34.0575334)
713,050778,01-JUL-18,30-JUN-19,As Submitted,1,LOMA LINDA UNIVERSITY CHILDRENS HOSP,11234 ANDERSON STREET  STE 1836,2000,LOMA LINDA,CA,92354,SAN BERNARDINO,160.0,58400.0,38034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,125195.0,88968.0,0.0,0.0,0.0,0.0,0.7106354087623308,POINT (-117.2641774 34.0494519)
717,050782,01-APR-18,31-MAR-19,Amended,2,CASA COLINA HOSPITAL AND CENTERS FOR,255 E BONITA,6001,POMONA,CA,91769-6001,LOS ANGELES,25.0,9125.0,3971.0,6.0,2190.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,11315.0,4371.0,6.0,2190.0,400.0,0.182648401826484,0.3863013698630137,POINT (-117.7469827 34.0975237)
718,050783,09-MAR-18,31-DEC-18,As Submitted,4,COLUSA MEDICAL CENTER,199 E WEBSTER ST,NaN,COLUSA,CA,95932,COLUSA,36.0,10728.0,2122.0,6.0,1788.0,613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,12516.0,2735.0,6.0,1788.0,613.0,0.342841163310962,0.21852029402364972,POINT (-122.0007038 39.2063172)
745,051327,01-JUL-18,30-JUN-19,As Submitted,11,SENECA DISTRICT HOSPITAL,130 BRENTWOOD DRIVE,NaN,CHESTER,CA,96020-,PLUMAS,10.0,3650.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3650.0,769.0,0.0,0.0,0.0,0.0,0.2106849315068493,POINT (-121.2348282 40.305719)
746,051328,01-JUL-18,30-JUN-19,As Submitted,11,TAHOE FOREST HOSPITAL,10121 PINE AVENUE,759,TRUCKEE,CA,96160-,NEVADA,19.0,6935.0,3632.0,6.0,2190.0,1212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,6067.0,6.0,2190.0,1212.0,0.5534246575342465,0.6648767123287671,POINT (-120.2007001 39.3252904)
828,054144,01-JUL-18,30-JUN-19,As Submitted,10,LANGLEY PORTER PSYCHIATRIC HOSPITAL,405 PARNASUS,NaN,SAN FRANCISCO,CA,94143-0824,SAN FRANCISCO,56.0,20440.0,5450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,20440.0,5450.0,0.0,0.0,0.0,0.0,0.26663405088062625,POINT (-122.4568711 37.76356)
840,054156,01-JAN-18,31-DEC-18,As Submitted,2,MOTION PICTURE AND TELEVISION FUND,23388 MULHOLLAND DRIVE,NaN,WOODLAND HILLS,CA,91364,LOS ANGELES,12.0,4380.0,1580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4380.0,1580.0,0.0,0.0,0.0,0.0,0.3607305936073059,POINT (-118.6350256 34.1558811)
