HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Bend, OR",415,38,182,298,17,27,"189,876","47,299","75,950","16,228","3,596","1,082",595%,363%,261%,541,297%,182%,130%,353,194%,118%,85%,240,1412%,889%,632%,120,706%,444%,316%,78,459%,289%,205%
"Billings, MT","2,432",148,931,"1,681",65,106,"476,520","97,688","190,608","39,928","8,644","2,662",286%,158%,109%,"1,331",143%,79%,55%,868,93%,52%,36%,576,886%,543%,389%,288,443%,272%,195%,188,289%,177%,127%
"Binghamton, NY","1,005",54,365,685,17,35,"286,154","67,043","114,462","24,295","5,342","1,620",444%,236%,161%,810,222%,118%,81%,528,145%,77%,53%,356,2094%,1017%,659%,178,1047%,509%,330%,116,682%,331%,215%
"Birmingham, AL","7,297",991,"2,756","5,027",342,666,"1,774,690","364,610","709,876","148,732","32,208","9,915",360%,197%,136%,"4,958",180%,99%,68%,"3,233",117%,64%,44%,"2,147",628%,322%,217%,"1,074",314%,161%,108%,700,205%,105%,71%
"Bismarck, ND",970,80,422,696,43,62,"182,581","38,811","73,032","15,351","3,337","1,023",242%,147%,105%,512,121%,74%,53%,334,79%,48%,34%,222,516%,358%,278%,111,258%,179%,139%,73,170%,118%,91%
"Bloomington, IL",394,35,201,298,10,23,"160,796","25,937","64,318","13,206","2,790",880,438%,295%,223%,440,219%,148%,112%,287,143%,96%,73%,186,1860%,809%,531%,93,930%,404%,266%,61,610%,265%,174%
"Blue Island, IL","2,053",308,583,"1,318",118,213,"670,968","134,483","268,387","56,104","12,116","3,740",642%,284%,182%,"1,870",321%,142%,91%,"1,220",209%,93%,59%,808,685%,379%,262%,404,342%,190%,131%,263,223%,123%,85%
"Boise, ID","1,773",186,848,"1,310",95,141,"701,166","134,953","280,466","58,417","12,561","3,894",459%,297%,220%,"1,947",230%,149%,110%,"1,270",150%,97%,72%,837,881%,594%,450%,419,441%,297%,225%,273,287%,194%,147%
"Boston, MA","10,239","1,157","2,548","6,393",438,798,"4,022,208","782,014","1,608,883","335,404","72,196","22,360",878%,350%,218%,"11,180",439%,175%,109%,"7,291",286%,114%,71%,"4,813",1099%,603%,416%,"2,407",550%,302%,208%,"1,569",358%,197%,136%
"Boulder, CO",640,90,297,468,43,67,"267,487","42,093","106,995","21,929","4,622","1,462",492%,312%,228%,731,246%,156%,114%,477,161%,102%,75%,308,716%,460%,342%,154,358%,230%,171%,100,233%,149%,111%
"Bradenton, FL",822,104,342,582,49,76,"266,378","82,842","106,551","23,393","5,342","1,560",456%,268%,190%,780,228%,134%,95%,509,149%,87%,62%,356,727%,468%,342%,178,363%,234%,171%,116,237%,153%,112%
"Bridgeport, CT","1,354",132,370,862,65,99,"539,133","102,171","215,653","44,857","9,629","2,990",808%,347%,221%,"1,495",404%,173%,110%,975,264%,113%,72%,642,988%,648%,486%,321,494%,324%,243%,209,322%,211%,158%
"Bronx, NY","4,012",282,807,"2,410",115,199,"1,094,741","170,439","437,896","89,677","18,884","5,978",741%,248%,149%,"2,989",370%,124%,75%,"1,950",242%,81%,49%,"1,259",1095%,633%,446%,629,547%,316%,223%,411,357%,207%,146%
"Bryan, TX",579,64,317,448,34,49,"230,741","32,271","92,296","18,763","3,914","1,251",395%,279%,216%,625,197%,140%,108%,408,129%,91%,70%,261,768%,533%,408%,130,382%,265%,203%,85,250%,173%,133%
"Buffalo, NY","4,713",323,"1,228","2,971",95,209,"1,090,373","234,541","436,149","91,781","19,978","6,119",498%,206%,130%,"3,059",249%,103%,65%,"1,995",162%,67%,42%,"1,332",1402%,637%,412%,666,701%,319%,206%,434,457%,208%,134%
"Burlington, VT","1,743",117,587,"1,165",65,91,"522,720","104,104","209,088","43,683","9,427","2,912",496%,250%,167%,"1,456",248%,125%,84%,950,162%,82%,55%,628,966%,690%,537%,314,483%,345%,268%,205,315%,225%,175%
"Camden, NJ","6,527",701,"2,294","4,410",293,497,"2,208,721","489,214","883,488","186,453","40,724","12,430",542%,282%,190%,"6,215",271%,141%,95%,"4,053",177%,92%,62%,"2,715",927%,546%,387%,"1,357",463%,273%,194%,885,302%,178%,126%
"Canton, OH","1,441",209,706,"1,073",97,153,"495,349","113,936","198,140","41,976","9,209","2,798",396%,261%,194%,"1,399",198%,130%,97%,913,129%,85%,63%,614,633%,401%,294%,307,316%,201%,147%,200,206%,131%,96%
"Cape Girardeau, MO",859,80,398,629,43,62,"202,898","45,230","81,159","17,139","3,746","1,143",287%,182%,133%,571,143%,91%,66%,373,94%,59%,43%,250,581%,403%,313%,125,291%,202%,156%,81,188%,131%,101%
"Casper, WY",633,32,378,505,20,26,"152,884","31,930","61,154","12,833","2,784",856,226%,170%,135%,428,113%,85%,68%,279,74%,55%,44%,186,930%,715%,581%,93,465%,358%,291%,61,305%,235%,191%
"Cedar Rapids, IA",799,44,364,581,22,33,"234,872","48,228","93,949","19,683","4,262","1,312",360%,226%,164%,656,180%,113%,82%,428,118%,74%,54%,284,1291%,861%,645%,142,645%,430%,323%,93,423%,282%,211%
"Charleston, SC","3,013",329,975,"1,994",101,215,"914,407","196,315","365,763","76,955","16,748","5,130",526%,257%,170%,"2,565",263%,129%,85%,"1,673",172%,84%,56%,"1,117",1106%,520%,340%,558,552%,260%,170%,364,360%,169%,111%
"Charleston, WV","2,620",284,"1,167","1,894",97,190,"650,209","155,752","260,084","55,335","12,200","3,689",316%,195%,141%,"1,844",158%,97%,70%,"1,203",103%,64%,46%,813,838%,428%,286%,407,420%,214%,143%,265,273%,139%,93%
"Charlotte, NC","4,873",770,"1,465","3,169",249,510,"2,024,238","353,589","809,695","167,278","35,612","11,152",761%,352%,229%,"5,576",381%,176%,114%,"3,636",248%,115%,75%,"2,374",953%,465%,308%,"1,187",477%,233%,154%,774,311%,152%,101%
"Charlottesville, VA","1,326",155,433,879,35,95,"477,802","100,652","191,121","40,138","8,716","2,676",618%,304%,202%,"1,338",309%,152%,101%,873,202%,99%,66%,581,1660%,612%,375%,291,831%,306%,188%,189,540%,199%,122%
"Chattanooga, TN","1,928",247,651,"1,290",59,153,"567,490","121,347","226,996","47,740","10,385","3,183",489%,247%,165%,"1,591",244%,123%,83%,"1,038",159%,80%,54%,692,1173%,452%,280%,346,586%,226%,140%,226,383%,148%,91%
"Chicago, IL","7,764",912,"3,161","5,462",312,612,"2,045,072","306,266","818,029","167,064","35,059","11,138",352%,204%,143%,"5,569",176%,102%,72%,"3,632",115%,66%,47%,"2,337",749%,382%,256%,"1,169",375%,191%,128%,762,244%,125%,84%
"Chico, CA",537,51,153,345,23,37,"239,882","53,947","95,953","20,281","4,438","1,352",884%,392%,252%,676,442%,196%,126%,441,288%,128%,82%,296,1287%,800%,580%,148,643%,400%,290%,96,417%,259%,188%
"Cincinnati, OH","3,808",567,"1,537","2,673",185,376,"1,293,436","245,509","517,374","107,630","23,109","7,175",467%,268%,188%,"3,588",233%,134%,94%,"2,340",152%,88%,61%,"1,541",833%,410%,272%,770,416%,205%,136%,502,271%,134%,89%
"Clearwater, FL","1,571",160,719,"1,145",44,102,"434,821","131,578","173,928","38,046","8,654","2,536",353%,221%,161%,"1,268",176%,111%,81%,827,115%,72%,53%,577,1311%,566%,361%,288,655%,282%,180%,188,427%,184%,118%
"Cleveland, OH","7,233",885,"2,631","4,932",306,595,"1,602,896","353,619","641,158","135,258","29,529","9,017",343%,183%,125%,"4,509",171%,91%,62%,"2,940",112%,60%,41%,"1,969",643%,331%,222%,984,322%,165%,111%,642,210%,108%,73%
"Colorado Springs, CO","1,295",149,555,925,62,106,"673,350","119,939","269,340","55,732","11,888","3,715",669%,402%,287%,"1,858",335%,201%,143%,"1,212",218%,131%,94%,793,1279%,748%,532%,396,639%,374%,266%,258,416%,243%,173%
"Columbia, MO","1,883",199,901,"1,392",77,138,"557,924","115,795","223,170","46,803","10,147","3,120",346%,224%,166%,"1,560",173%,112%,83%,"1,017",113%,73%,54%,676,878%,490%,340%,338,439%,245%,170%,221,287%,160%,111%
"Columbia, SC","3,026",398,"1,053","2,040",151,275,"975,665","189,632","390,266","81,357","17,511","5,424",515%,266%,179%,"2,712",258%,133%,90%,"1,769",168%,87%,58%,"1,167",773%,424%,293%,584,387%,212%,147%,381,252%,139%,96%
"Columbus, GA","1,105",75,547,826,33,54,"280,815","48,222","112,326","23,174","4,925","1,545",282%,187%,140%,772,141%,93%,70%,504,92%,61%,46%,328,994%,607%,437%,164,497%,304%,219%,107,324%,198%,143%
"Columbus, OH","6,449",679,"2,792","4,620",235,457,"2,405,737","441,233","962,295","199,603","42,703","13,307",477%,288%,206%,"6,653",238%,144%,103%,"4,339",155%,94%,67%,"2,847",1211%,623%,419%,"1,423",606%,311%,210%,928,395%,203%,137%
"Contra Costa County, CA","1,727",203,675,"1,201",81,142,"844,608","159,096","337,843","70,236","15,068","4,682",694%,390%,271%,"2,341",347%,195%,136%,"1,527",226%,127%,88%,"1,005",1241%,708%,495%,502,620%,354%,247%,328,405%,231%,162%
"Corpus Christi, TX","1,135",167,357,746,38,102,"439,951","83,055","175,980","36,592","7,852","2,439",683%,327%,215%,"1,220",342%,164%,107%,795,223%,107%,70%,523,1376%,513%,313%,262,689%,257%,157%,171,450%,168%,102%
"Covington, KY",828,93,280,554,39,66,"327,040","57,022","130,816","27,022","5,752","1,801",643%,325%,218%,901,322%,163%,109%,587,210%,106%,71%,383,982%,580%,412%,192,492%,291%,206%,125,321%,189%,134%
"Dallas, TX","10,585","1,292","3,679","7,132",450,871,"3,918,830","583,050","1,567,532","319,987","67,112","21,332",580%,299%,202%,"10,666",290%,150%,101%,"6,956",189%,98%,66%,"4,474",994%,514%,346%,"2,237",497%,257%,173%,"1,459",324%,168%,113%
"Danville, PA","1,664",171,510,"1,087",33,102,"481,423","99,782","192,569","40,380","8,753","2,692",528%,248%,162%,"1,346",264%,124%,81%,878,172%,81%,53%,584,1770%,573%,342%,292,885%,286%,171%,190,576%,186%,111%
"Davenport, IA","1,614",139,699,"1,157",66,102,"379,562","86,153","151,825","32,121","7,036","2,141",306%,185%,133%,"1,071",153%,93%,66%,698,100%,60%,43%,469,711%,460%,337%,235,356%,230%,169%,153,232%,150%,110%
"Dayton, OH","2,070",294,749,"1,410",89,192,"825,712","177,147","330,285","69,486","15,121","4,632",618%,329%,224%,"2,316",309%,164%,112%,"1,511",202%,107%,73%,"1,008",1133%,525%,343%,504,566%,263%,171%,329,370%,171%,112%
"Dearborn, MI","1,439",188,462,951,95,142,"382,586","75,636","153,034","31,951","6,890","2,130",461%,224%,148%,"1,065",231%,112%,74%,695,150%,73%,48%,459,483%,323%,244%,230,242%,162%,122%,150,158%,106%,80%
"Denver, CO","5,593",843,"2,269","3,931",325,584,"2,380,353","379,848","952,141","195,341","41,229","13,023",574%,331%,233%,"6,511",287%,166%,116%,"4,247",187%,108%,76%,"2,749",846%,471%,326%,"1,374",423%,235%,163%,896,276%,153%,106%
"Des Moines, IA","2,760",173,"1,193","1,977",76,125,"869,785","168,710","347,914","72,515","15,605","4,834",405%,245%,175%,"2,417",203%,122%,88%,"1,576",132%,80%,57%,"1,040",1368%,832%,601%,520,684%,416%,301%,339,446%,271%,196%
"Detroit, MI","4,123",509,"1,333","2,728",163,336,"1,315,527","254,755","526,211","109,661","23,595","7,311",548%,268%,177%,"3,655",274%,134%,89%,"2,384",179%,87%,58%,"1,573",965%,468%,309%,786,482%,234%,154%,513,315%,153%,101%
"Dothan, AL","1,335",108,504,919,33,71,"290,096","65,608","116,038","24,540","5,373","1,636",325%,178%,123%,818,162%,89%,61%,533,106%,58%,40%,358,1085%,504%,331%,179,542%,252%,166%,117,355%,165%,108%
"Dubuque, IA",518,18,228,373,8,13,"125,779","28,314","50,312","10,635","2,327",709,311%,190%,137%,354,155%,95%,68%,231,101%,62%,45%,155,1938%,1192%,861%,78,975%,600%,433%,51,638%,392%,283%
"Duluth, MN","1,319",217,508,914,73,145,"274,471","63,578","109,788","23,276","5,111","1,552",306%,170%,118%,776,153%,85%,59%,506,100%,55%,38%,341,467%,235%,157%,170,233%,117%,78%,111,152%,77%,51%
"Durham, NC","4,505",790,"1,125","2,815",241,516,"1,097,252","224,839","438,901","91,935","19,903","6,129",545%,218%,136%,"3,064",272%,109%,68%,"1,999",178%,71%,44%,"1,327",551%,257%,168%,663,275%,128%,84%,433,180%,84%,55%
"East Long Island, NY","9,897",928,"1,230","5,564",235,582,"3,811,249","751,403","1,524,500","318,208","68,597","21,214",1725%,381%,214%,"10,607",862%,191%,107%,"6,918",562%,124%,70%,"4,573",1946%,786%,493%,"2,287",973%,393%,246%,"1,491",634%,256%,161%
"El Paso, TX","2,086",274,753,"1,420",51,162,"839,182","146,112","335,673","69,330","14,755","4,622",614%,325%,222%,"2,311",307%,163%,111%,"1,507",200%,106%,72%,984,1929%,607%,359%,492,965%,304%,180%,321,629%,198%,117%
"Elgin, IL","1,239",142,475,857,67,104,"610,597","100,811","244,239","50,236","10,637","3,349",705%,391%,270%,"1,675",353%,195%,135%,"1,092",230%,127%,88%,709,1058%,682%,499%,355,530%,341%,250%,231,345%,222%,163%
"Elmira, NY","1,036",94,361,699,14,54,"255,069","58,415","102,028","21,605","4,738","1,440",399%,206%,139%,720,199%,103%,69%,470,130%,67%,45%,316,2257%,585%,336%,158,1129%,293%,168%,103,736%,191%,110%
"Elyria, OH",453,63,214,333,21,42,"200,261","44,042","80,104","16,893","3,687","1,126",526%,338%,249%,563,263%,169%,124%,367,171%,110%,81%,246,1171%,586%,390%,123,586%,293%,195%,80,381%,190%,127%
"Erie, PA","1,904",184,706,"1,305",88,136,"561,138","130,069","224,455","47,589","10,451","3,173",449%,243%,167%,"1,586",225%,122%,83%,"1,035",147%,79%,54%,697,792%,513%,379%,348,395%,256%,189%,227,258%,167%,123%
"Eugene, OR","1,208",138,416,812,64,101,"603,572","141,016","241,429","51,230","11,261","3,415",821%,421%,283%,"1,708",411%,210%,141%,"1,114",268%,137%,92%,751,1173%,744%,544%,375,586%,371%,272%,245,383%,243%,178%
"Evanston, IL","2,032",332,666,"1,349",137,234,"711,961","162,705","284,784","60,292","13,218","4,019",603%,298%,198%,"2,010",302%,149%,99%,"1,311",197%,97%,65%,881,643%,376%,265%,441,322%,188%,133%,287,209%,123%,86%
"Evansville, IN","2,154",328,"1,050","1,602",157,243,"528,945","115,347","211,578","44,583","9,720","2,972",283%,186%,138%,"1,486",142%,93%,69%,969,92%,60%,45%,648,413%,267%,198%,324,206%,133%,99%,211,134%,87%,64%
"Everett, WA",951,83,319,635,26,55,"542,404","104,811","216,962","45,206","9,724","3,014",945%,475%,317%,"1,507",472%,237%,158%,983,308%,155%,103%,648,2492%,1178%,781%,324,1246%,589%,390%,211,812%,384%,254%
"Fargo/Moorhead MN, ND","1,872",180,734,"1,303",48,114,"432,080","90,275","172,832","36,269","7,869","2,418",329%,186%,129%,"1,209",165%,93%,65%,788,107%,60%,42%,525,1094%,461%,292%,262,546%,230%,146%,171,356%,150%,95%
"Flint, MI","1,375",161,458,916,58,109,"426,480","89,340","170,592","35,807","7,771","2,387",521%,261%,174%,"1,194",261%,130%,87%,778,170%,85%,57%,518,893%,475%,322%,259,447%,238%,161%,169,291%,155%,105%
"Florence, SC","1,248",224,481,865,79,151,"287,862","62,812","115,145","24,264","5,290","1,618",336%,187%,130%,809,168%,94%,65%,527,110%,61%,42%,353,447%,234%,158%,176,223%,117%,79%,115,146%,76%,51%
"Fort Collins, CO",704,31,341,523,14,22,"287,995","47,223","115,198","23,682","5,011","1,579",463%,302%,224%,789,231%,151%,112%,515,151%,98%,73%,334,2386%,1518%,1077%,167,1193%,759%,539%,109,779%,495%,352%
"Fort Lauderdale, FL","7,323",908,"2,753","5,038",292,600,"2,396,614","619,365","958,646","205,679","45,787","13,712",498%,272%,187%,"6,856",249%,136%,94%,"4,471",162%,89%,61%,"3,052",1045%,509%,336%,"1,526",523%,254%,168%,995,341%,166%,110%
"Fort Myers, FL","3,115",268,"1,089","2,102",97,182,"1,079,022","373,713","431,609","96,207","22,327","6,414",589%,305%,206%,"3,207",294%,153%,103%,"2,091",192%,99%,67%,"1,488",1534%,818%,555%,744,767%,409%,278%,485,500%,266%,181%
"Fort Smith, AR",931,87,487,709,55,71,"281,971","62,427","112,788","23,802","5,198","1,587",326%,224%,170%,793,163%,112%,85%,517,106%,73%,56%,347,631%,489%,399%,173,315%,244%,199%,113,205%,159%,130%
"Fort Wayne, IN","2,442",376,"1,038","1,740",143,259,"651,379","132,442","260,552","54,538","11,797","3,636",350%,209%,149%,"1,818",175%,104%,74%,"1,186",114%,68%,49%,786,550%,303%,209%,393,275%,152%,105%,256,179%,99%,68%
"Fort Worth, TX","4,200",501,"1,400","2,800",187,344,"1,764,292","277,941","705,717","144,648","30,493","9,643",689%,344%,230%,"4,822",344%,172%,115%,"3,145",225%,112%,75%,"2,033",1087%,591%,406%,"1,016",543%,295%,203%,663,355%,193%,132%
"Fresno, CA","1,935",205,547,"1,241",77,141,"918,145","146,620","367,258","75,351","15,905","5,023",918%,405%,260%,"2,512",459%,202%,130%,"1,638",299%,132%,85%,"1,060",1377%,752%,517%,530,688%,376%,259%,346,449%,245%,169%
"Gainesville, FL","1,834",303,469,"1,152",88,195,"464,038","96,829","185,615","38,946","8,448","2,596",554%,225%,142%,"1,298",277%,113%,71%,847,181%,74%,46%,563,640%,289%,186%,282,320%,145%,93%,184,209%,94%,61%
"Gary, IN","1,434",179,638,"1,036",95,137,"392,167","80,990","156,867","32,882","7,125","2,192",344%,212%,153%,"1,096",172%,106%,76%,715,112%,69%,50%,475,500%,347%,265%,238,251%,174%,133%,155,163%,113%,87%
"Grand Forks, ND",952,31,374,663,18,24,"130,084","25,793","52,034","10,867","2,344",724,194%,109%,76%,362,97%,55%,38%,236,63%,36%,25%,156,867%,650%,503%,78,433%,325%,252%,51,283%,213%,165%
"Grand Junction, CO",696,75,321,509,33,54,"270,519","57,077","108,208","22,728","4,937","1,515",472%,298%,218%,758,236%,149%,109%,494,154%,97%,71%,329,997%,609%,439%,165,500%,306%,220%,107,324%,198%,143%
"Grand Rapids, MI","2,440",236,957,"1,699",86,161,"933,913","171,359","373,565","77,489","16,579","5,166",540%,304%,212%,"2,583",270%,152%,106%,"1,685",176%,99%,69%,"1,105",1285%,686%,468%,553,643%,343%,234%,360,419%,224%,153%
"Great Falls, MT",937,50,367,652,27,39,"114,922","25,583","45,969","9,706","2,121",647,176%,99%,69%,324,88%,50%,35%,211,57%,32%,23%,141,522%,362%,282%,71,263%,182%,142%,46,170%,118%,92%
"Greeley, CO",792,79,396,594,28,54,"294,267","55,594","117,707","24,477","5,253","1,632",412%,275%,206%,816,206%,137%,103%,532,134%,90%,67%,350,1250%,648%,443%,175,625%,324%,222%,114,407%,211%,144%
"Green Bay, WI",990,112,498,744,43,77,"402,953","88,095","161,181","33,972","7,409","2,265",455%,304%,229%,"1,132",227%,152%,114%,739,148%,99%,75%,494,1149%,642%,441%,247,574%,321%,221%,161,374%,209%,144%
"Greensboro, NC","1,224",135,362,793,47,91,"505,727","100,544","202,291","42,256","9,118","2,817",778%,355%,230%,"1,409",389%,178%,115%,919,254%,116%,75%,608,1294%,668%,450%,304,647%,334%,225%,198,421%,218%,147%
"Greenville, NC","1,977",339,631,"1,304",115,227,"679,309","136,432","271,724","56,812","12,272","3,787",600%,290%,192%,"1,894",300%,145%,96%,"1,235",196%,95%,62%,818,711%,360%,241%,409,356%,180%,121%,267,232%,118%,79%
