HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Asheville, NC","1,541",232,556,"1,048",76,154,"553,131","146,572","110,626","23,804","5,316","1,587",285%,151%,103%,793,143%,76%,51%,517,93%,49%,34%,354,466%,230%,153%,177,233%,115%,76%,116,153%,75%,50%
"Atlanta, GA","12,780","1,621","3,338","8,059",436,"1,029","5,027,281","799,338","1,005,456","206,224","43,511","13,748",412%,171%,108%,"6,874",206%,85%,54%,"4,483",134%,56%,35%,"2,901",665%,282%,179%,"1,450",333%,141%,89%,946,217%,92%,58%
"Augusta, GA","2,194",349,831,"1,512",106,227,"540,242","105,665","108,048","22,537","4,854","1,502",181%,99%,68%,751,90%,50%,34%,490,59%,32%,22%,324,306%,143%,93%,162,153%,71%,46%,106,100%,47%,30%
"Aurora, IL",527,55,286,406,25,40,"245,644","34,035","49,129","9,981","2,081",665,233%,164%,126%,333,116%,82%,63%,217,76%,53%,41%,139,556%,348%,253%,69,276%,173%,125%,45,180%,113%,82%
"Austin, TX","2,775",393,"1,003","1,889",161,277,"1,523,446","208,426","304,689","61,851","12,880","4,123",411%,218%,149%,"2,062",206%,109%,74%,"1,345",134%,71%,48%,859,534%,310%,219%,429,266%,155%,109%,280,174%,101%,71%
"Bakersfield, CA","2,429",191,692,"1,561",88,140,"847,115","123,309","169,423","34,533","7,229","2,302",333%,147%,95%,"1,151",166%,74%,47%,751,109%,48%,31%,482,548%,344%,252%,241,274%,172%,126%,157,178%,112%,82%
"Baltimore, MD","6,931",844,"1,887","4,409",303,574,"2,015,003","379,769","403,001","83,786","17,976","5,586",296%,127%,81%,"2,793",148%,63%,40%,"1,821",97%,41%,26%,"1,198",395%,209%,142%,599,198%,104%,71%,391,129%,68%,46%
"Bangor, ME","1,094",100,400,747,28,64,"318,554","77,904","63,711","13,585","3,003",906,227%,121%,83%,453,113%,61%,41%,295,74%,39%,27%,200,714%,313%,200%,100,357%,156%,100%,65,232%,102%,65%
"Baton Rouge, LA","2,898",249,"1,159","2,028",119,184,"746,856","127,072","149,371","30,795","6,539","2,053",177%,101%,71%,"1,026",89%,51%,35%,669,58%,33%,23%,436,366%,237%,175%,218,183%,118%,88%,142,119%,77%,57%
"Beaumont, TX",908,114,421,665,43,79,"356,372","70,621","71,274","14,884","3,210",992,236%,149%,109%,496,118%,75%,55%,324,77%,49%,36%,214,498%,271%,188%,107,249%,135%,94%,70,163%,89%,61%
"Bend, OR",415,38,182,298,17,27,"189,876","47,299","37,975","8,114","1,798",541,297%,182%,130%,270,148%,91%,65%,176,97%,59%,42%,120,706%,444%,316%,60,353%,222%,158%,39,229%,144%,103%
"Billings, MT","2,432",148,931,"1,681",65,106,"476,520","97,688","95,304","19,964","4,322","1,331",143%,79%,55%,665,71%,40%,27%,434,47%,26%,18%,288,443%,272%,195%,144,222%,136%,97%,94,145%,89%,64%
"Binghamton, NY","1,005",54,365,685,17,35,"286,154","67,043","57,231","12,148","2,671",810,222%,118%,81%,405,111%,59%,40%,264,72%,39%,26%,178,1047%,509%,330%,89,524%,254%,165%,58,341%,166%,107%
"Birmingham, AL","7,297",991,"2,756","5,027",342,666,"1,774,690","364,610","354,938","74,366","16,104","4,958",180%,99%,68%,"2,479",90%,49%,34%,"1,617",59%,32%,22%,"1,074",314%,161%,108%,537,157%,81%,54%,350,102%,53%,35%
"Bismarck, ND",970,80,422,696,43,62,"182,581","38,811","36,516","7,675","1,668",512,121%,74%,53%,256,61%,37%,26%,167,40%,24%,17%,111,258%,179%,139%,56,130%,90%,70%,36,84%,58%,45%
"Bloomington, IL",394,35,201,298,10,23,"160,796","25,937","32,159","6,603","1,395",440,219%,148%,112%,220,109%,74%,56%,144,72%,48%,37%,93,930%,404%,266%,46,460%,200%,131%,30,300%,130%,86%
"Blue Island, IL","2,053",308,583,"1,318",118,213,"670,968","134,483","134,194","28,052","6,058","1,870",321%,142%,91%,935,160%,71%,46%,610,105%,46%,30%,404,342%,190%,131%,202,171%,95%,66%,132,112%,62%,43%
"Boise, ID","1,773",186,848,"1,310",95,141,"701,166","134,953","140,233","29,208","6,280","1,947",230%,149%,110%,974,115%,74%,55%,635,75%,48%,36%,419,441%,297%,225%,209,220%,148%,112%,137,144%,97%,74%
"Boston, MA","10,239","1,157","2,548","6,393",438,798,"4,022,208","782,014","804,442","167,702","36,098","11,180",439%,175%,109%,"5,590",219%,87%,55%,"3,646",143%,57%,36%,"2,407",550%,302%,208%,"1,203",275%,151%,104%,785,179%,98%,68%
"Boulder, CO",640,90,297,468,43,67,"267,487","42,093","53,497","10,964","2,311",731,246%,156%,114%,365,123%,78%,57%,238,80%,51%,37%,154,358%,230%,171%,77,179%,115%,86%,50,116%,75%,56%
"Bradenton, FL",822,104,342,582,49,76,"266,378","82,842","53,276","11,696","2,671",780,228%,134%,95%,390,114%,67%,47%,254,74%,44%,31%,178,363%,234%,171%,89,182%,117%,86%,58,118%,76%,56%
"Bridgeport, CT","1,354",132,370,862,65,99,"539,133","102,171","107,827","22,428","4,815","1,495",404%,173%,110%,748,202%,87%,55%,488,132%,57%,36%,321,494%,324%,243%,160,246%,162%,121%,105,162%,106%,80%
"Bronx, NY","4,012",282,807,"2,410",115,199,"1,094,741","170,439","218,948","44,838","9,442","2,989",370%,124%,75%,"1,495",185%,62%,37%,975,121%,40%,24%,629,547%,316%,223%,315,274%,158%,112%,205,178%,103%,73%
"Bryan, TX",579,64,317,448,34,49,"230,741","32,271","46,148","9,381","1,957",625,197%,140%,108%,313,99%,70%,54%,204,64%,46%,35%,130,382%,265%,203%,65,191%,133%,102%,43,126%,88%,67%
"Buffalo, NY","4,713",323,"1,228","2,971",95,209,"1,090,373","234,541","218,075","45,891","9,989","3,059",249%,103%,65%,"1,530",125%,51%,32%,998,81%,34%,21%,666,701%,319%,206%,333,351%,159%,103%,217,228%,104%,67%
"Burlington, VT","1,743",117,587,"1,165",65,91,"522,720","104,104","104,544","21,841","4,714","1,456",248%,125%,84%,728,124%,62%,42%,475,81%,41%,27%,314,483%,345%,268%,157,242%,173%,134%,102,157%,112%,87%
"Camden, NJ","6,527",701,"2,294","4,410",293,497,"2,208,721","489,214","441,744","93,226","20,362","6,215",271%,141%,95%,"3,108",135%,70%,48%,"2,027",88%,46%,31%,"1,357",463%,273%,194%,679,232%,137%,97%,443,151%,89%,63%
"Canton, OH","1,441",209,706,"1,073",97,153,"495,349","113,936","99,070","20,988","4,605","1,399",198%,130%,97%,700,99%,65%,49%,456,65%,42%,32%,307,316%,201%,147%,154,159%,101%,74%,100,103%,65%,48%
"Cape Girardeau, MO",859,80,398,629,43,62,"202,898","45,230","40,580","8,570","1,873",571,143%,91%,66%,286,72%,45%,33%,186,47%,30%,22%,125,291%,202%,156%,62,144%,100%,78%,41,95%,66%,51%
"Casper, WY",633,32,378,505,20,26,"152,884","31,930","30,577","6,416","1,392",428,113%,85%,68%,214,57%,42%,34%,139,37%,28%,22%,93,465%,358%,291%,46,230%,177%,144%,30,150%,115%,94%
"Cedar Rapids, IA",799,44,364,581,22,33,"234,872","48,228","46,974","9,841","2,131",656,180%,113%,82%,328,90%,56%,41%,214,59%,37%,27%,142,645%,430%,323%,71,323%,215%,161%,46,209%,139%,105%
"Charleston, SC","3,013",329,975,"1,994",101,215,"914,407","196,315","182,881","38,477","8,374","2,565",263%,129%,85%,"1,283",132%,64%,43%,836,86%,42%,28%,558,552%,260%,170%,279,276%,130%,85%,182,180%,85%,55%
"Charleston, WV","2,620",284,"1,167","1,894",97,190,"650,209","155,752","130,042","27,667","6,100","1,844",158%,97%,70%,922,79%,49%,35%,601,51%,32%,23%,407,420%,214%,143%,203,209%,107%,71%,133,137%,70%,47%
"Charlotte, NC","4,873",770,"1,465","3,169",249,510,"2,024,238","353,589","404,848","83,639","17,806","5,576",381%,176%,114%,"2,788",190%,88%,57%,"1,818",124%,57%,37%,"1,187",477%,233%,154%,594,239%,116%,77%,387,155%,76%,50%
"Charlottesville, VA","1,326",155,433,879,35,95,"477,802","100,652","95,560","20,069","4,358","1,338",309%,152%,101%,669,155%,76%,50%,436,101%,50%,33%,291,831%,306%,188%,145,414%,153%,94%,95,271%,100%,61%
"Chattanooga, TN","1,928",247,651,"1,290",59,153,"567,490","121,347","113,498","23,870","5,192","1,591",244%,123%,83%,796,122%,62%,41%,519,80%,40%,27%,346,586%,226%,140%,173,293%,113%,70%,113,192%,74%,46%
"Chicago, IL","7,764",912,"3,161","5,462",312,612,"2,045,072","306,266","409,014","83,532","17,529","5,569",176%,102%,72%,"2,784",88%,51%,36%,"1,816",57%,33%,23%,"1,169",375%,191%,128%,584,187%,95%,64%,381,122%,62%,42%
"Chico, CA",537,51,153,345,23,37,"239,882","53,947","47,976","10,140","2,219",676,442%,196%,126%,338,221%,98%,63%,220,144%,64%,41%,148,643%,400%,290%,74,322%,200%,145%,48,209%,130%,94%
"Cincinnati, OH","3,808",567,"1,537","2,673",185,376,"1,293,436","245,509","258,687","53,815","11,554","3,588",233%,134%,94%,"1,794",117%,67%,47%,"1,170",76%,44%,31%,770,416%,205%,136%,385,208%,102%,68%,251,136%,67%,44%
"Clearwater, FL","1,571",160,719,"1,145",44,102,"434,821","131,578","86,964","19,023","4,327","1,268",176%,111%,81%,634,88%,55%,40%,414,58%,36%,26%,288,655%,282%,180%,144,327%,141%,90%,94,214%,92%,59%
"Cleveland, OH","7,233",885,"2,631","4,932",306,595,"1,602,896","353,619","320,579","67,629","14,764","4,509",171%,91%,62%,"2,254",86%,46%,31%,"1,470",56%,30%,20%,984,322%,165%,111%,492,161%,83%,56%,321,105%,54%,36%
"Colorado Springs, CO","1,295",149,555,925,62,106,"673,350","119,939","134,670","27,866","5,944","1,858",335%,201%,143%,929,167%,100%,72%,606,109%,66%,47%,396,639%,374%,266%,198,319%,187%,133%,129,208%,122%,87%
"Columbia, MO","1,883",199,901,"1,392",77,138,"557,924","115,795","111,585","23,401","5,073","1,560",173%,112%,83%,780,87%,56%,41%,509,56%,37%,27%,338,439%,245%,170%,169,219%,122%,85%,110,143%,80%,55%
"Columbia, SC","3,026",398,"1,053","2,040",151,275,"975,665","189,632","195,133","40,678","8,756","2,712",258%,133%,90%,"1,356",129%,66%,45%,884,84%,43%,29%,584,387%,212%,147%,292,193%,106%,73%,190,126%,69%,48%
"Columbus, GA","1,105",75,547,826,33,54,"280,815","48,222","56,163","11,587","2,463",772,141%,93%,70%,386,71%,47%,35%,252,46%,31%,23%,164,497%,304%,219%,82,248%,152%,109%,54,164%,100%,72%
"Columbus, OH","6,449",679,"2,792","4,620",235,457,"2,405,737","441,233","481,147","99,801","21,352","6,653",238%,144%,103%,"3,327",119%,72%,52%,"2,170",78%,47%,34%,"1,423",606%,311%,210%,712,303%,156%,105%,464,197%,102%,68%
"Contra Costa County, CA","1,727",203,675,"1,201",81,142,"844,608","159,096","168,922","35,118","7,534","2,341",347%,195%,136%,"1,171",173%,98%,68%,763,113%,64%,44%,502,620%,354%,247%,251,310%,177%,124%,164,202%,115%,81%
"Corpus Christi, TX","1,135",167,357,746,38,102,"439,951","83,055","87,990","18,296","3,926","1,220",342%,164%,107%,610,171%,82%,54%,398,111%,53%,35%,262,689%,257%,157%,131,345%,128%,78%,85,224%,83%,51%
"Covington, KY",828,93,280,554,39,66,"327,040","57,022","65,408","13,511","2,876",901,322%,163%,109%,450,161%,81%,54%,294,105%,53%,36%,192,492%,291%,206%,96,246%,145%,103%,63,162%,95%,68%
"Dallas, TX","10,585","1,292","3,679","7,132",450,871,"3,918,830","583,050","783,766","159,993","33,556","10,666",290%,150%,101%,"5,333",145%,75%,50%,"3,478",95%,49%,33%,"2,237",497%,257%,173%,"1,119",249%,128%,87%,729,162%,84%,56%
"Danville, PA","1,664",171,510,"1,087",33,102,"481,423","99,782","96,285","20,190","4,376","1,346",264%,124%,81%,673,132%,62%,40%,439,86%,40%,26%,292,885%,286%,171%,146,442%,143%,85%,95,288%,93%,56%
"Davenport, IA","1,614",139,699,"1,157",66,102,"379,562","86,153","75,912","16,060","3,518","1,071",153%,93%,66%,535,77%,46%,33%,349,50%,30%,22%,235,356%,230%,169%,117,177%,115%,84%,76,115%,75%,55%
"Dayton, OH","2,070",294,749,"1,410",89,192,"825,712","177,147","165,142","34,743","7,560","2,316",309%,164%,112%,"1,158",155%,82%,56%,755,101%,54%,36%,504,566%,263%,171%,252,283%,131%,86%,164,184%,85%,56%
"Dearborn, MI","1,439",188,462,951,95,142,"382,586","75,636","76,517","15,975","3,445","1,065",231%,112%,74%,532,115%,56%,37%,347,75%,36%,24%,230,242%,162%,122%,115,121%,81%,61%,75,79%,53%,40%
"Denver, CO","5,593",843,"2,269","3,931",325,584,"2,380,353","379,848","476,071","97,671","20,614","6,511",287%,166%,116%,"3,256",143%,83%,58%,"2,123",94%,54%,38%,"1,374",423%,235%,163%,687,211%,118%,81%,448,138%,77%,53%
"Des Moines, IA","2,760",173,"1,193","1,977",76,125,"869,785","168,710","173,957","36,257","7,802","2,417",203%,122%,88%,"1,209",101%,61%,44%,788,66%,40%,29%,520,684%,416%,301%,260,342%,208%,150%,170,224%,136%,98%
"Detroit, MI","4,123",509,"1,333","2,728",163,336,"1,315,527","254,755","263,105","54,830","11,797","3,655",274%,134%,89%,"1,828",137%,67%,44%,"1,192",89%,44%,29%,786,482%,234%,154%,393,241%,117%,77%,256,157%,76%,50%
"Dothan, AL","1,335",108,504,919,33,71,"290,096","65,608","58,019","12,270","2,687",818,162%,89%,61%,409,81%,45%,31%,267,53%,29%,20%,179,542%,252%,166%,90,273%,127%,83%,58,176%,82%,54%
"Dubuque, IA",518,18,228,373,8,13,"125,779","28,314","25,156","5,318","1,164",355,156%,95%,69%,177,78%,47%,34%,116,51%,31%,22%,78,975%,600%,433%,39,488%,300%,217%,25,313%,192%,139%
"Duluth, MN","1,319",217,508,914,73,145,"274,471","63,578","54,894","11,638","2,555",776,153%,85%,59%,388,76%,42%,29%,253,50%,28%,19%,170,233%,117%,78%,85,116%,59%,39%,56,77%,39%,26%
"Durham, NC","4,505",790,"1,125","2,815",241,516,"1,097,252","224,839","219,450","45,967","9,951","3,064",272%,109%,68%,"1,532",136%,54%,34%,999,89%,35%,22%,663,275%,128%,84%,332,138%,64%,42%,216,90%,42%,27%
"East Long Island, NY","9,897",928,"1,230","5,564",235,582,"3,811,249","751,403","762,250","159,104","34,299","10,607",862%,191%,107%,"5,303",431%,95%,54%,"3,459",281%,62%,35%,"2,287",973%,393%,246%,"1,143",486%,196%,123%,746,317%,128%,80%
"El Paso, TX","2,086",274,753,"1,420",51,162,"839,182","146,112","167,836","34,665","7,378","2,311",307%,163%,111%,"1,156",154%,81%,55%,754,100%,53%,36%,492,965%,304%,180%,246,482%,152%,90%,160,314%,99%,58%
"Elgin, IL","1,239",142,475,857,67,104,"610,597","100,811","122,119","25,118","5,318","1,675",353%,195%,135%,837,176%,98%,68%,546,115%,64%,44%,355,530%,341%,250%,177,264%,170%,125%,116,173%,112%,82%
"Elmira, NY","1,036",94,361,699,14,54,"255,069","58,415","51,014","10,803","2,369",720,199%,103%,69%,360,100%,52%,35%,235,65%,34%,23%,158,1129%,293%,168%,79,564%,146%,84%,52,371%,96%,55%
"Elyria, OH",453,63,214,333,21,42,"200,261","44,042","40,052","8,447","1,843",563,263%,169%,124%,282,132%,85%,62%,184,86%,55%,41%,123,586%,293%,195%,61,290%,145%,97%,40,190%,95%,63%
"Erie, PA","1,904",184,706,"1,305",88,136,"561,138","130,069","112,228","23,795","5,225","1,586",225%,122%,83%,793,112%,61%,42%,517,73%,40%,27%,348,395%,256%,189%,174,198%,128%,95%,114,130%,84%,62%
"Eugene, OR","1,208",138,416,812,64,101,"603,572","141,016","120,714","25,615","5,630","1,708",411%,210%,141%,854,205%,105%,71%,557,134%,69%,46%,375,586%,371%,272%,188,294%,186%,136%,122,191%,121%,88%
"Evanston, IL","2,032",332,666,"1,349",137,234,"711,961","162,705","142,392","30,146","6,609","2,010",302%,149%,99%,"1,005",151%,74%,49%,655,98%,49%,32%,441,322%,188%,133%,220,161%,94%,66%,144,105%,62%,43%
"Evansville, IN","2,154",328,"1,050","1,602",157,243,"528,945","115,347","105,789","22,292","4,860","1,486",142%,93%,69%,743,71%,46%,34%,485,46%,30%,23%,324,206%,133%,99%,162,103%,67%,49%,106,68%,44%,32%
"Everett, WA",951,83,319,635,26,55,"542,404","104,811","108,481","22,603","4,862","1,507",472%,237%,158%,753,236%,119%,79%,491,154%,77%,52%,324,1246%,589%,390%,162,623%,295%,195%,106,408%,193%,128%
"Fargo/Moorhead MN, ND","1,872",180,734,"1,303",48,114,"432,080","90,275","86,416","18,134","3,934","1,209",165%,93%,65%,604,82%,46%,32%,394,54%,30%,21%,262,546%,230%,146%,131,273%,115%,73%,86,179%,75%,48%
"Flint, MI","1,375",161,458,916,58,109,"426,480","89,340","85,296","17,904","3,885","1,194",261%,130%,87%,597,130%,65%,43%,389,85%,42%,28%,259,447%,238%,161%,130,224%,119%,81%,84,145%,77%,52%
"Florence, SC","1,248",224,481,865,79,151,"287,862","62,812","57,572","12,132","2,645",809,168%,94%,65%,404,84%,47%,32%,264,55%,31%,21%,176,223%,117%,79%,88,111%,58%,39%,58,73%,38%,26%
"Fort Collins, CO",704,31,341,523,14,22,"287,995","47,223","57,599","11,841","2,506",789,231%,151%,112%,395,116%,76%,56%,257,75%,49%,37%,167,1193%,759%,539%,84,600%,382%,271%,54,386%,245%,174%
"Fort Lauderdale, FL","7,323",908,"2,753","5,038",292,600,"2,396,614","619,365","479,323","102,839","22,893","6,856",249%,136%,94%,"3,428",125%,68%,47%,"2,236",81%,44%,31%,"1,526",523%,254%,168%,763,261%,127%,84%,498,171%,83%,55%
"Fort Myers, FL","3,115",268,"1,089","2,102",97,182,"1,079,022","373,713","215,804","48,103","11,163","3,207",294%,153%,103%,"1,603",147%,76%,51%,"1,046",96%,50%,34%,744,767%,409%,278%,372,384%,204%,139%,243,251%,134%,91%
"Fort Smith, AR",931,87,487,709,55,71,"281,971","62,427","56,394","11,901","2,599",793,163%,112%,85%,397,82%,56%,43%,259,53%,37%,28%,173,315%,244%,199%,87,158%,123%,100%,56,102%,79%,64%
"Fort Wayne, IN","2,442",376,"1,038","1,740",143,259,"651,379","132,442","130,276","27,269","5,898","1,818",175%,104%,74%,909,88%,52%,37%,593,57%,34%,24%,393,275%,152%,105%,197,138%,76%,52%,128,90%,49%,34%
"Fort Worth, TX","4,200",501,"1,400","2,800",187,344,"1,764,292","277,941","352,858","72,324","15,247","4,822",344%,172%,115%,"2,411",172%,86%,57%,"1,572",112%,56%,37%,"1,016",543%,295%,203%,508,272%,148%,101%,331,177%,96%,66%
"Fresno, CA","1,935",205,547,"1,241",77,141,"918,145","146,620","183,629","37,675","7,952","2,512",459%,202%,130%,"1,256",230%,101%,65%,819,150%,66%,42%,530,688%,376%,259%,265,344%,188%,129%,173,225%,123%,84%
"Gainesville, FL","1,834",303,469,"1,152",88,195,"464,038","96,829","92,808","19,473","4,224","1,298",277%,113%,71%,649,138%,56%,35%,423,90%,37%,23%,282,320%,145%,93%,141,160%,72%,47%,92,105%,47%,30%
"Gary, IN","1,434",179,638,"1,036",95,137,"392,167","80,990","78,433","16,441","3,562","1,096",172%,106%,76%,548,86%,53%,38%,357,56%,34%,25%,237,249%,173%,132%,119,125%,87%,66%,77,81%,56%,43%
"Grand Forks, ND",952,31,374,663,18,24,"130,084","25,793","26,017","5,433","1,172",362,97%,55%,38%,181,48%,27%,19%,118,32%,18%,12%,78,433%,325%,252%,39,217%,163%,126%,25,139%,104%,81%
"Grand Junction, CO",696,75,321,509,33,54,"270,519","57,077","54,104","11,364","2,468",758,236%,149%,109%,379,118%,74%,54%,247,77%,49%,35%,165,500%,306%,220%,82,248%,152%,109%,54,164%,100%,72%
"Grand Rapids, MI","2,440",236,957,"1,699",86,161,"933,913","171,359","186,783","38,745","8,289","2,583",270%,152%,106%,"1,292",135%,76%,53%,842,88%,50%,35%,553,643%,343%,234%,276,321%,171%,117%,180,209%,112%,76%
"Great Falls, MT",937,50,367,652,27,39,"114,922","25,583","22,984","4,853","1,061",324,88%,50%,35%,162,44%,25%,17%,106,29%,16%,11%,71,263%,182%,142%,35,130%,90%,70%,23,85%,59%,46%
"Greeley, CO",792,79,396,594,28,54,"294,267","55,594","58,853","12,238","2,626",816,206%,137%,103%,408,103%,69%,52%,266,67%,45%,34%,175,625%,324%,222%,88,314%,163%,111%,57,204%,106%,72%
"Green Bay, WI",990,112,498,744,43,77,"402,953","88,095","80,591","16,986","3,704","1,132",227%,152%,114%,566,114%,76%,57%,369,74%,50%,37%,247,574%,321%,221%,123,286%,160%,110%,81,188%,105%,72%
"Greensboro, NC","1,224",135,362,793,47,91,"505,727","100,544","101,145","21,128","4,559","1,409",389%,178%,115%,704,194%,89%,58%,459,127%,58%,38%,304,647%,334%,225%,152,323%,167%,113%,99,211%,109%,73%
"Greenville, NC","1,977",339,631,"1,304",115,227,"679,309","136,432","135,862","28,406","6,136","1,894",300%,145%,96%,947,150%,73%,48%,618,98%,47%,31%,409,356%,180%,121%,205,178%,90%,60%,133,116%,59%,39%
"Greenville, SC","2,217",282,798,"1,507",41,161,"743,619","153,533","148,724","31,175","6,755","2,078",260%,138%,94%,"1,039",130%,69%,47%,678,85%,45%,31%,450,1098%,280%,160%,225,549%,140%,80%,147,359%,91%,52%
"Gulfport, MS",609,80,287,448,40,60,"159,671","28,559","31,934","6,610","1,411",441,154%,98%,72%,220,77%,49%,36%,144,50%,32%,24%,94,235%,157%,118%,47,118%,78%,59%,31,78%,52%,39%
"Hackensack, NJ","3,819",175,"1,057","2,438",98,137,"1,048,868","200,075","209,774","43,658","9,379","2,911",275%,119%,76%,"1,455",138%,60%,38%,949,90%,39%,25%,625,638%,456%,357%,313,319%,228%,179%,204,208%,149%,117%
