County,FileNumber,ProviderName,Bed Census,Available,Available Capacity,Total Staffed Bed Capacity
COLLIER,23960057,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,76,24,24.00%,100
COLLIER,23960116,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,34,16,32.00%,50
COLUMBIA,100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,29,22,43.14%,51
COLUMBIA,100156,LAKE CITY MEDICAL CENTER,69,91,56.88%,160
DESOTO,100175,DESOTO MEMORIAL HOSPITAL,24,31,56.36%,55
DUVAL,100001,UF HEALTH JACKSONVILLE,353,250,41.46%,603
DUVAL,100040,ASCENSION ST VINCENT'S RIVERSIDE,208,236,53.15%,444
DUVAL,100088,BAPTIST MEDICAL CENTER JACKSONVILLE,341,294,46.30%,635
DUVAL,100117,BAPTIST MEDICAL CENTER - BEACHES,65,137,67.82%,202
DUVAL,100151,MAYO CLINIC,203,101,33.22%,304
DUVAL,100179,MEMORIAL HOSPITAL JACKSONVILLE,250,249,49.90%,499
DUVAL,100184,BROOKS REHABILITATION HOSPITAL,128,11,7.91%,139
DUVAL,100196,CURAHEALTH JACKSONVILLE LLC,16,5,23.81%,21
DUVAL,104016,RIVER POINT BEHAVIORAL HEALTH,30,54,64.29%,84
DUVAL,23960052,BAPTIST MEDICAL CENTER SOUTH,159,217,57.71%,376
DUVAL,23960061,WEKIVA SPRINGS,53,86,61.87%,139
DUVAL,23960088,ASCENSION ST VINCENT'S SOUTHSIDE,73,173,70.33%,246
DUVAL,23960123,UF HEALTH NORTH,54,38,41.30%,92
DUVAL,23960157,WOLFSON CHILDREN'S HOSPITAL,109,99,47.60%,208
ESCAMBIA,100025,ASCENSION SACRED HEART PENSACOLA,278,181,39.43%,459
ESCAMBIA,100093,BAPTIST HOSPITAL,185,179,49.18%,364
ESCAMBIA,100231,WEST FLORIDA HOSPITAL,210,203,49.15%,413
ESCAMBIA,23960076,SELECT SPECIALTY HOSPITAL PENSACOLA,69,6,8.00%,75
FLAGLER,100118,ADVENTHEALTH PALM COAST,99,13,11.61%,112
FRANKLIN,100153,GEORGE E WEEMS MEMORIAL HOSPITAL,1,14,93.33%,15
GADSDEN,100159,"CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS",0,0,,0
GADSDEN,104000,FLORIDA STATE HOSPITAL,0,0,,0
GULF,23960084,ASCENSION SACRED HEART GULF,3,18,85.71%,21
HARDEE,100282,ADVENTHEALTH WAUCHULA,22,3,12.00%,25
HENDRY,100098,HENDRY REGIONAL MEDICAL CENTER,13,9,40.91%,22
HERNANDO,100071,BAYFRONT HEALTH BROOKSVILLE,56,64,53.33%,120
HERNANDO,100264,OAK HILL HOSPITAL,171,179,51.14%,350
HERNANDO,110054,SPRINGBROOK HOSPITAL,63,0,0.00%,63
HERNANDO,111525,BAYFRONT HEALTH SPRING HILL,42,41,49.40%,83
HERNANDO,23960042,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL,57,23,28.75%,80
HIGHLANDS,100049,HIGHLANDS REGIONAL MEDICAL CENTER,36,45,55.56%,81
HIGHLANDS,100109,ADVENTHEALTH SEBRING,91,56,38.10%,147
HIGHLANDS,120013,ADVENTHEALTH LAKE PLACID,15,18,54.55%,33
HILLSBOROUGH,100069,ADVENTHEALTH CARROLLWOOD,66,24,26.67%,90
HILLSBOROUGH,100075,ST JOSEPHS HOSPITAL,437,151,25.68%,588
HILLSBOROUGH,100115,KINDRED HOSPITAL-BAY AREA-TAMPA,46,27,36.99%,73
HILLSBOROUGH,100128,TAMPA GENERAL HOSPITAL,558,364,39.48%,922
HILLSBOROUGH,100132,SOUTH FLORIDA BAPTIST HOSPITAL,75,29,27.88%,104
HILLSBOROUGH,100143,KINDRED HOSPITAL-CENTRAL TAMPA,63,39,38.24%,102
HILLSBOROUGH,100173,ADVENTHEALTH TAMPA,361,182,33.52%,543
HILLSBOROUGH,100206,MEMORIAL HOSPITAL OF TAMPA,73,61,45.52%,134
HILLSBOROUGH,100243,BRANDON REGIONAL HOSPITAL,309,113,26.78%,422
HILLSBOROUGH,100255,TAMPA COMMUNITY HOSPITAL- A CAMPUS OF MEMORIAL HOSPITAL OF TAMPA,21,21,50.00%,42
HILLSBOROUGH,100259,SOUTH BAY HOSPITAL,74,64,46.38%,138
HILLSBOROUGH,110009,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL,218,105,32.51%,323
HILLSBOROUGH,23960100,ST JOSEPHS HOSPITAL NORTH,75,45,37.50%,120
HILLSBOROUGH,23960105,ST JOSEPHS HOSPITAL SOUTH,74,26,26.00%,100
HILLSBOROUGH,23960113,ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,49,11,18.33%,60
HOLMES,100078,DOCTORS MEMORIAL HOSPITAL,9,11,55.00%,20
INDIAN RIVER,100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,175,127,42.05%,302
INDIAN RIVER,100217,STEWARD SEBASTIAN RIVER MEDICAL CENTER,63,0,0.00%,63
INDIAN RIVER,110017,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TREASURE COAST,55,10,15.38%,65
JACKSON,100138,CAMPBELLTON-GRACEVILLE HOSPITAL,0,0,,0
JACKSON,100142,JACKSON HOSPITAL,35,35,50.00%,70
LAKE,100051,ORLANDO HEALTH SOUTH LAKE HOSPITAL,116,54,31.76%,170
LAKE,100057,ADVENTHEALTH WATERMAN,162,134,45.27%,296
LAKE,100084,UF HEALTH LEESBURG HOSPITAL,195,137,41.27%,332
LAKE,100214,UF HEALTH LEESBURG SENIOR BEHAVIORAL HEALTH CENTER,12,9,42.86%,21
LAKE,104018,LIFESTREAM BEHAVIORAL CENTER,41,5,10.87%,46
LEE,100012,LEE MEMORIAL HOSPITAL,274,61,18.21%,335
LEE,100107,LEHIGH REGIONAL MEDICAL CENTER,27,1,3.57%,28
LEE,100220,GULF COAST MEDICAL CENTER LEE MEMORIAL HEALTH SYSTEM,304,156,33.91%,460
LEE,100244,CAPE CORAL HOSPITAL,202,110,35.26%,312
LEE,120005,HEALTHPARK MEDICAL CENTER,330,290,46.77%,620
LEE,23960103,PARK ROYAL HOSPITAL,96,18,15.79%,114
LEE,23960107,SELECT SPECIALTY HOSPITAL-FORT MYERS,48,12,20.00%,60
LEON,100135,TALLAHASSEE MEMORIAL HOSPITAL,238,164,40.80%,402
LEON,100254,CAPITAL REGIONAL MEDICAL CENTER,160,112,41.18%,272
LEON,110021,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TALLAHASSEE,28,17,37.78%,45
LEON,110044,EASTSIDE PSYCHIATRIC HOSPITAL,15,17,53.13%,32
LEON,23960059,SELECT SPECIALTY HOSPITAL - TALLAHASSEE,36,12,25.00%,48
MADISON,100004,MADISON COUNTY MEMORIAL HOSPITAL,4,11,73.33%,15
MANATEE,100035,MANATEE MEMORIAL HOSPITAL,213,97,31.29%,310
MANATEE,100213,BLAKE MEDICAL CENTER,216,173,44.47%,389
MANATEE,110028,CENTERSTONE OF FLORIDA,31,8,20.51%,39
MANATEE,110049,SUNCOAST BEHAVIORAL HEALTH CENTER,37,23,38.33%,60
MANATEE,23960046,LAKEWOOD RANCH MEDICAL CENTER,67,53,44.17%,120
MARION,100062,ADVENTHEALTH OCALA,186,207,52.67%,393
MARION,100212,OCALA REGIONAL MEDICAL CENTER,178,78,30.47%,256
MARION,23960039,WEST MARION COMMUNITY HOSPITAL,106,68,39.08%,174
MARION,23960060,KINDRED HOSPITAL OCALA,10,5,33.33%,15
MARION,23960073,THE VINES HOSPITAL,57,41,41.84%,98
MARION,23960109,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,44,26,37.14%,70
MARTIN,100044,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,104,152,59.38%,256
MARTIN,120009,CLEVELAND CLINIC MARTIN SOUTH HOSPITAL,57,63,52.50%,120
MARTIN,23960112,ENCOMPASS HEALTH REHAB HOSPITAL AN AFFILIATE OF MARTIN HEALTH,63,1,1.56%,64
MARTIN,23960125,CORAL SHORES BEHAVIORAL HEALTH,20,60,75.00%,80
MIAMI-DADE,100008,BAPTIST HOSPITAL OF MIAMI,413,354,46.15%,767
MIAMI-DADE,100009,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS-UHEALTH TOWER,239,167,41.13%,406
MIAMI-DADE,100020,DOCTORS HOSPITAL,57,77,57.46%,134
MIAMI-DADE,100022,JACKSON MEMORIAL HOSPITAL,878,625,41.58%,"1,503"
MIAMI-DADE,100029,NORTH SHORE MEDICAL CENTER,202,75,27.08%,277
MIAMI-DADE,100034,MOUNT SINAI MEDICAL CENTER,309,297,49.01%,606
MIAMI-DADE,100050,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,76,64,45.71%,140
MIAMI-DADE,100053,HIALEAH HOSPITAL,96,144,60.00%,240
MIAMI-DADE,100061,"MERCY HOSPITAL, A CAMPUS OF PLANTATION GENERAL HOSPITAL",186,256,57.92%,442
MIAMI-DADE,100076,VARIETY CHILDREN'S HOSPITAL,0,0,,0
MIAMI-DADE,100079,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPREHENSIVE,13,27,67.50%,40
MIAMI-DADE,100114,JACKSON NORTH MEDICAL CENTER,208,125,37.54%,333
MIAMI-DADE,100125,HOMESTEAD HOSPITAL,94,61,39.35%,155
MIAMI-DADE,100131,AVENTURA HOSPITAL AND MEDICAL CENTER,316,82,20.60%,398
MIAMI-DADE,100152,KINDRED HOSPITAL-SOUTH FLORIDA-CORAL GABLES,55,1,1.79%,56
MIAMI-DADE,100154,SOUTH MIAMI HOSPITAL,235,210,47.19%,445
MIAMI-DADE,100165,WESTCHESTER GENERAL HOSPITAL,66,8,10.81%,74
MIAMI-DADE,100181,LARKIN COMMUNITY HOSPITAL,97,19,16.38%,116
MIAMI-DADE,100183,CORAL GABLES HOSPITAL,82,62,43.06%,144
MIAMI-DADE,100187,PALMETTO GENERAL HOSPITAL,167,227,57.61%,394
MIAMI-DADE,100197,DOUGLAS GARDENS HOSPITAL,16,0,0.00%,16
MIAMI-DADE,100208,JACKSON SOUTH MEDICAL CENTER,154,133,46.34%,287
MIAMI-DADE,100209,KENDALL REGIONAL MEDICAL CENTER,244,173,41.49%,417
MIAMI-DADE,100240,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS-BASCOM PALMER EYE INST,0,0,,0
MIAMI-DADE,103004,ST CATHERINE'S REHABILITATION HOSPITAL,10,12,54.55%,22
MIAMI-DADE,103038,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MIAMI,32,28,46.67%,60
MIAMI-DADE,110040,SOUTHERN WINDS,58,14,19.44%,72
MIAMI-DADE,110041,WEST GABLES REHABILITATION HOSPITAL,9,0,0.00%,9
MIAMI-DADE,110199,NICKLAUS CHILDREN'S HOSPITAL,155,34,17.99%,189
MIAMI-DADE,120014,SOUTH FLORIDA EVALUATION AND TREATMENT CENTER,216,0,0.00%,216
MIAMI-DADE,23960028,SELECT SPECIALTY HOSPITAL-MIAMI,47,0,0.00%,47
MIAMI-DADE,23960064,WEST KENDALL BAPTIST HOSPITAL,116,39,25.16%,155
MIAMI-DADE,23960094,SELECT SPECIALTY HOSPITAL-MIAMI LAKES,60,0,0.00%,60
MIAMI-DADE,23960097,ST CATHERINE'S WEST REHABILITATION HOSPITAL,19,21,52.50%,40
MONROE,100024,FISHERMEN'S COMMUNITY HOSPITAL,0,4,100.00%,4
MONROE,100150,DEPOO HOSPITAL,23,3,11.54%,26
MONROE,100160,MARINERS HOSPITAL,18,7,28.00%,25
MONROE,100195,LOWER KEYS MEDICAL CENTER,41,32,43.84%,73
NASSAU,100140,BAPTIST MEDICAL CENTER - NASSAU,30,66,68.75%,96
OKALOOSA,100054,TWIN CITIES HOSPITAL,31,12,27.91%,43
OKALOOSA,100122,NORTH OKALOOSA MEDICAL CENTER,37,96,72.18%,133
OKALOOSA,100223,FORT WALTON BEACH MEDICAL CENTER,176,61,25.74%,237
OKALOOSA,111520,GULF COAST TREATMENT CENTER,28,0,0.00%,28
OKALOOSA,23960106,"REHABILITATION INSTITUTE OF NORTHWEST FLORIDA, THE",17,13,43.33%,30
OKEECHOBEE,100252,RAULERSON HOSPITAL,43,57,57.00%,100
ORANGE,100006,ORLANDO HEALTH ORLANDO REGIONAL MEDICAL CENTER,450,292,39.35%,742
ORANGE,100007,ADVENTHEALTH ORLANDO,698,523,42.83%,"1,221"
ORANGE,100021,ADVENTHEALTH EAST ORLANDO,198,30,13.16%,228
ORANGE,100030,ORLANDO HEALTH - HEALTH CENTRAL HOSPITAL,138,78,36.11%,216
ORANGE,100129,ASPIRE HEALTH PARTNERS,34,0,0.00%,34
ORANGE,100162,ADVENTHEALTH WINTER PARK,154,54,25.96%,208
ORANGE,110047,UNIVERSITY BEHAVIORAL CENTER,69,47,40.52%,116
ORANGE,110051,LA AMISTAD RESIDENTIAL TREATMENT CENTER,32,0,0.00%,32
ORANGE,120001,ARNOLD PALMER MEDICAL CENTER,230,20,8.00%,250
ORANGE,120002,ORLANDO HEALTH DR P PHILLIPS HOSPITAL,125,26,17.22%,151
ORANGE,120003,ADVENTHEALTH APOPKA,53,15,22.06%,68
ORANGE,23960043,SELECT SPECIALTY HOSPITAL - ORLANDO (NORTH CAMPUS),29,6,17.14%,35
ORANGE,23960068,SELECT SPECIALTY HOSPITAL - ORLANDO (SOUTH CAMPUS),63,1,1.56%,64
ORANGE,23960083,CENTRAL FLORIDA BEHAVIORAL HOSPITAL,120,0,0.00%,120
ORANGE,23960096,NEMOURS CHILDREN'S HOSPITAL,65,43,39.81%,108
OSCEOLA,100074,ST CLOUD REGIONAL MEDICAL CENTER,58,26,30.95%,84
OSCEOLA,100089,ADVENTHEALTH KISSIMMEE,62,41,39.81%,103
OSCEOLA,100110,OSCEOLA REGIONAL MEDICAL CENTER,280,154,35.48%,434
OSCEOLA,23960017,ADVENTHEALTH CELEBRATION,111,65,36.93%,176
OSCEOLA,23960111,POINCIANA MEDICAL CENTER,45,31,40.79%,76
OSCEOLA,23960129,BLACKBERRY CENTER,49,15,23.44%,64
PALM BEACH,100002,BETHESDA HOSPITAL EAST,216,194,47.32%,410
PALM BEACH,100010,ST MARY'S MEDICAL CENTER,286,215,42.91%,501
PALM BEACH,100080,JFK MEDICAL CENTER,355,190,34.86%,545
PALM BEACH,100130,LAKESIDE MEDICAL CENTER,37,34,47.89%,71
PALM BEACH,100168,BOCA RATON REGIONAL HOSPITAL,252,214,45.92%,466
PALM BEACH,100176,PALM BEACH GARDENS MEDICAL CENTER,111,108,49.32%,219
PALM BEACH,100234,JFK MEDICAL CENTER NORTH CAMPUS,107,124,53.68%,231
PALM BEACH,100253,JUPITER MEDICAL CENTER,133,97,42.17%,230
PALM BEACH,100258,DELRAY MEDICAL CENTER,273,202,42.53%,475
PALM BEACH,104008,"THE JEROME GOLDEN CENTER FOR BEHAVIORAL HEALTH, INC",0,0,,0
PALM BEACH,110006,PALMS WEST HOSPITAL,114,76,40.00%,190
PALM BEACH,110008,WEST BOCA MEDICAL CENTER,85,138,61.88%,223
PALM BEACH,110010,WELLINGTON REGIONAL MEDICAL CENTER,144,70,32.71%,214
PALM BEACH,110403,GOOD SAMARITAN MEDICAL CENTER,121,27,18.24%,148
PALM BEACH,23960072,SELECT SPECIALTY HOSPITAL- PALM BEACH,57,3,5.00%,60
PALM BEACH,23960074,KINDRED HOSPITAL THE PALM BEACHES,44,11,20.00%,55
PALM BEACH,23960098,BETHESDA HOSPITAL WEST,53,32,37.65%,85
PASCO,100046,ADVENTHEALTH ZEPHYRHILLS,122,17,12.23%,139
PASCO,100063,MORTON PLANT NORTH BAY HOSPITAL,134,60,30.93%,194
PASCO,100191,MEDICAL CENTER OF TRINITY,120,158,56.83%,278
PASCO,100211,ADVENTHEALTH DADE CITY,62,24,27.91%,86
PASCO,100256,REGIONAL MEDICAL CENTER BAYONET POINT,159,131,45.17%,290
PASCO,23960082,ADVENTHEALTH CONNERTON,61,16,20.78%,77
PASCO,23960099,ADVENTHEALTH WESLEY CHAPEL,80,65,44.83%,145
PASCO,23960102,MORTON PLANT NORTH BAY HOSPITAL RECOVERY CENTER,46,5,9.80%,51
PASCO,23960110,MEDICAL CENTER OF TRINITY WEST PASCO CAMPUS,40,22,35.48%,62
PASCO,23960114,NORTH TAMPA BEHAVIORAL HEALTH,82,51,38.35%,133
PINELLAS,100015,LARGO MEDICAL CENTER - INDIAN ROCKS,74,33,30.84%,107
PINELLAS,100032,BAYFRONT HEALTH ST PETERSBURG,169,190,52.92%,359
PINELLAS,100043,MEASE DUNEDIN HOSPITAL,77,47,37.90%,124
PINELLAS,100055,ADVENTHEALTH NORTH PINELLAS,89,21,19.09%,110
PINELLAS,100067,ST ANTHONYS HOSPITAL,270,58,17.68%,328
PINELLAS,100126,PALMS OF PASADENA HOSPITAL,68,134,66.34%,202
PINELLAS,100127,MORTON PLANT HOSPITAL,332,195,37.00%,527
PINELLAS,100180,ST PETERSBURG GENERAL HOSPITAL,58,157,73.02%,215
PINELLAS,100238,NORTHSIDE HOSPITAL,128,142,52.59%,270
PINELLAS,100248,LARGO MEDICAL CENTER,167,131,43.96%,298
PINELLAS,100250,JOHNS HOPKINS ALL CHILDREN'S HOSPITAL,152,31,16.94%,183
PINELLAS,104017,WINDMOOR HEALTHCARE OF CLEARWATER,49,53,51.96%,102
PINELLAS,110001,MEASE COUNTRYSIDE HOSPITAL,175,129,42.43%,304
PINELLAS,110045,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LARGO,63,0,0.00%,63
PINELLAS,23960011,KINDRED HOSPITAL-BAY AREA-ST PETERSBURG,45,14,23.73%,59
PINELLAS,23960085,BAYCARE ALLIANT HOSPITAL,31,18,36.73%,49
POLK,100052,WINTER HAVEN HOSPITAL,232,12,4.92%,244
POLK,100099,ADVENTHEALTH LAKE WALES,66,121,64.71%,187
POLK,100121,BARTOW REGIONAL MEDICAL CENTER,26,12,31.58%,38
POLK,100137,ADVENTHEALTH HEART OF FLORIDA,78,105,57.38%,183
POLK,100157,LAKELAND REGIONAL MEDICAL CENTER,617,236,27.67%,853
POLK,120010,WINTER HAVEN WOMEN'S HOSPITAL,36,6,14.29%,42
PUTNAM,100232,PUTNAM COMMUNITY MEDICAL CENTER,49,35,41.67%,84
SANTA ROSA,100048,JAY HOSPITAL,7,14,66.67%,21
SANTA ROSA,100124,SANTA ROSA MEDICAL CENTER,39,79,66.95%,118
SANTA ROSA,104027,WEST FLORIDA COMMUNITY CARE CENTER,40,60,60.00%,100
SANTA ROSA,110003,GULF BREEZE HOSPITAL,37,40,51.95%,77
SARASOTA,100070,VENICE REGIONAL BAYFRONT HEALTH,79,160,66.95%,239
SARASOTA,100087,SARASOTA MEMORIAL HOSPITAL,501,53,9.57%,554
SARASOTA,100166,DOCTORS HOSPITAL OF SARASOTA,60,91,60.26%,151
SARASOTA,110004,ENGLEWOOD COMMUNITY HOSPITAL,21,82,79.61%,103
SARASOTA,110013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SARASOTA,86,10,10.42%,96
SARASOTA,23960049,PAM SPECIALTY HOSPITAL OF SARASOTA,34,6,15.00%,40
SEMINOLE,100161,CENTRAL FLORIDA REGIONAL HOSPITAL,107,101,48.56%,208
SEMINOLE,100263,ORLANDO HEALTH SOUTH SEMINOLE HOSPITAL,114,72,38.71%,186
SEMINOLE,120004,ADVENTHEALTH ALTAMONTE SPRINGS,204,144,41.38%,348
SEMINOLE,23960115,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ALTAMONTE SPRINGS,38,22,36.67%,60
SEMINOLE,23960121,OVIEDO MEDICAL CENTER,37,27,42.19%,64
ST. JOHNS,100219,FLAGLER HOSPITAL,131,202,60.66%,333
ST. LUCIE,100246,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,272,121,30.79%,393
ST. LUCIE,100260,ST LUCIE MEDICAL CENTER,116,113,49.34%,229
ST. LUCIE,110022,PORT ST LUCIE HOSPITAL,54,21,28.00%,75
ST. LUCIE,23960108,CLEVELAND CLINIC TRADITION HOSPITAL,136,98,41.88%,234
SUMTER,23960032,UF HEALTH THE VILLAGES HOSPITAL,170,137,44.63%,307
SUMTER,23960086,SELECT SPECIALTY HOSPITAL-THE VILLAGES INC,25,15,37.50%,40
TAYLOR,100106,DOCTORS' MEMORIAL HOSPITAL,0,16,100.00%,16
UNION,100241,LAKE BUTLER HOSPITAL,5,20,80.00%,25
UNION,110183,RECEPTION AND MEDICAL CENTER HOSPITAL,64,32,33.33%,96
VOLUSIA,100014,ADVENTHEALTH NEW SMYRNA BEACH,56,48,46.15%,104
VOLUSIA,100017,HALIFAX HEALTH MEDICAL CENTER,317,182,36.47%,499
VOLUSIA,100045,ADVENTHEALTH DELAND,90,102,53.13%,192
VOLUSIA,100072,ADVENTHEALTH FISH MEMORIAL,91,27,22.88%,118
VOLUSIA,100169,ADVENTHEALTH DAYTONA BEACH,246,151,38.04%,397
VOLUSIA,110016,HALIFAX PSYCHIATRIC CENTER-NORTH,12,20,62.50%,32
VOLUSIA,23960051,HALIFAX HEALTH MEDICAL CENTER- PORT ORANGE,18,25,58.14%,43
VOLUSIA,23960120,SELECT SPECIALTY HOSPITAL - DAYTONA BEACH,34,0,0.00%,34
VOLUSIA,23960152,HALIFAX HEALTH UF HEALTH MEDICAL CENTER OF DELTONA,6,36,85.71%,42
WALTON,100081,HEALTHMARK REGIONAL MEDICAL CENTER,3,6,66.67%,9
WALTON,23960041,ASCENSION SACRED HEART EMERALD COAST,39,65,62.50%,104
WASHINGTON,100147,NORTHWEST FLORIDA COMMUNITY HOSPITAL,41,18,30.51%,59
