hospital_name,hospital_ownership,hospital_type,lat,lng,address,city,location,county_name,emergency_services,geocode_accuracy,geocode_flag,statecountyfips,cbsa_name,cbsa_code,phone_number,state,url,zip_code,provider_id_int,provider_id_raw,RPT_REC_NUM,PRVDR_CTRL_TYPE_CD,PRVDR_NUM,RPT_STUS_CD,filed_date,fy_start_date,fy_end_date,source_year,days_in_period,most_recent,acute_beds_0700,icu_beds_0800,extra_0899_infped,extra_0899_adult,all_adult_icu_beds,coronary_beds_0900,extra_0999_infped,extra_0999_adult,burn_beds_1000,extra_1099_infped,extra_1099_adult,surg_icu_beds_1100,extra_1199_infped,extra_1199_adult,oth_spec_beds_1200,extra_1299_infped,extra_1299_adult,subtotal_acute_beds_1400,subprovider_ipf_beds_1600,subprovider_irf_beds_1700,subprovider_oth_beds_1800,skilled_nursing_beds_1900,nursing_fac_beds_2000,oth_longterm_beds_2100,hospice_beds_2400,all_beds_2700,labor_delivery_beds_3200,acute_bed_days_0700,icu_bed_days_0800,extra_days_0899_infped,extra_days_0899_adult,all_adult_icu_bed_days,coronary_bed_days_0900,extra_days_0999_infped,extra_days_0999_adult,burn_bed_days_1000,extra_days_1099_infped,extra_days_1099_adult,oth_spec_bed_days_1100,extra_days_1199_infped,extra_days_1199_adult,oth_spec_bed_days_1200,extra_days_1299_infped,extra_days_1299_adult,subtotal_acute_bed_days_1400,subprovider_ipf_bed_days_1600,subprovider_irf_bed_days_1700,subprovider_oth_bed_days_1800,skilled_nursing_bed_days_1900,nursing_fac_bed_days_2000,oth_longterm_bed_days_2100,hospice_bed_days_2400,obs_bed_days_2800,labor_delivery_bed_days_3200,all_adult_icu_utilization,subtotal_acute_utilization,interns_residents,payroll_employees
MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,35.8085290,-94.6430100,1401 WEST LOCUST,STILWELL,,ADAIR,TRUE,,0,40001,,,(918) 696-3101,OK,https://data.medicare.gov/resource/xubh-q36u/row-7atr.sncy~icbf,74960,370178,370178,660001,2,370178,1,2019-12-02,2018-07-01,2019-06-30,2018,364,t,30,,,,0,,,,,,,,,,,,,30,10,,,,,,,40,,5415,,,,0,,,,,,,,,,,,,5440,1062,,,,,,,401,,,49.0000,,207.9500
PERSHING MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,39.7750780,-93.0682970,130 EAST LOCKLING,BROOKFIELD,,LINN,TRUE,,0,29115,,,(660) 258-2222,MO,https://data.medicare.gov/resource/xubh-q36u/row-erzz.ajdg-a2dj,64628,261307,261307,658941,2,261307,1,2019-11-12,2018-07-01,2019-06-30,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,,,,,25,,1127,,,,0,,,,,,,,,,,,,1127,,,,,,,,189,,,12.0000,,133.2600
WILLIAMSON MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,37.6782370,-82.2720310,859 ALDERSON STREET,WILLIAMSON,,MINGO,TRUE,,0,54059,,,(304) 235-2500,WV,https://data.medicare.gov/resource/xubh-q36u/row-ieg8-kqsx_5d2s,25661,510077,510077,645804,4,510077,1,2019-03-06,2017-10-01,2018-09-30,2018,364,t,21,6,,,6,,,,,,,,,,,,,27,,,,,,,,27,,1359,143,,,143,,,,,,,,,,,,,1502,,,,,,,,1237,,6.0000,15.0000,,122.0200
MOUNT CARMEL NEW ALBANY SURGICAL HOSPITAL,Proprietary,Acute Care Hospitals,40.0863030,-82.7887930,7333 SMITH'S MILL ROAD,NEW ALBANY,,FRANKLIN,FALSE,,0,39049,"Columbus, OH",18140,(614) 775-6600,OH,https://data.medicare.gov/resource/xubh-q36u/row-ywvf~p2gq~kk8u,43054,360266,360266,660674,1,360266,1,2019-11-26,2018-07-01,2019-06-30,2018,364,t,60,,,,0,,,,,,,,,,,,,60,,,,,,,,60,,5851,,,,0,,,,,,,,,,,,,5851,,,,,,,,148,,,26.0000,,259.5800
NORTH METRO MEDICAL CENTER,Proprietary,Acute Care Hospitals,34.8723810,-92.1246970,1400 BRADEN STREET,JACKSONVILLE,,PULASKI,TRUE,,0,05119,"Little Rock-North Little Rock-Conway, AR",30780,(501) 985-7000,AR,https://data.medicare.gov/resource/xubh-q36u/row-fmp5~srts-kxcs,72076,40074,40074,656863,2,40074,1,2018-12-06,2017-07-01,2018-06-30,2017,364,t,47,,,,0,,,,,,,,,,,,,47,31,,,,,,,78,,3034,,,,0,,,,,,,,,,,,,3034,8119,,,,,,,,,,17.0000,,440.3600
BAPTIST MEDICAL CENTER - BEACHES,Voluntary non-profit - Private,Acute Care Hospitals,30.2745270,-81.3994690,1350 13TH AVE S,JACKSONVILLE BEACH,,DUVAL,TRUE,,0,12031,"Jacksonville, FL",27260,(904) 247-2900,FL,https://data.medicare.gov/resource/xubh-q36u/row-y5qj_3rke_6hp2,32250,100117,100117,644239,2,100117,1,2019-02-26,2017-10-01,2018-09-30,2018,364,t,135,,,,0,,,,,,,,,,,,,135,,,,,,,,135,,26983,,,,0,,,,,,,,,,,,,28911,,,,,,,,3466,,,58.0000,,636.3000
CENTRO CARDIOVASCULAR,Government - State,Acute Care Hospitals,18.3997905,-66.0681500,"AVENIDA AMERICO MIRANDA, ENTRADA PRINCIPAL CM",RIO PIEDRAS,,SAN JUAN,FALSE,GEOMETRIC_CENTER,1,,,,(787) 754-8500,PR,https://data.medicare.gov/resource/xubh-q36u/row-n57n_rm6c-sekq,936,400124,400124,639357,3,400124,1,2018-12-12,2017-07-01,2018-06-30,2017,364,t,114,50,,,50,,,,,,,,,,,,,164,,,,,,,,164,,23656,10375,,,10375,,,,,,,,,,,,,34031,,,,,,,,,,57.0000,57.0000,5.2500,479.6400
HOSPITAL UNIVERSITARIO DE ADULTO,Government - State,Acute Care Hospitals,18.3960081,-66.0738624,BARRIO MONACILLOS CENTROMEDICO,RIO PIEDRAS,,SAN JUAN,TRUE,GEOMETRIC_CENTER,1,,,,(787) 754-0101,PR,https://data.medicare.gov/resource/xubh-q36u/row-swte-w8pc_y4fj,927,400061,400061,660309,10,400061,1,2019-11-27,2018-07-01,2019-06-30,2018,364,t,200,15,,,15,,,,,,,,,,,,,215,,,,,,,,215,16,57029,4700,,,4700,,,,,,,,,,,,,63672,,,,,,,,,,86.0000,81.0000,73.0200,577.0000
METROPOLITAN HOSPITAL,Proprietary,Acute Care Hospitals,18.3896633,-66.0988444,CARRETERA 21 1785 URB LAS LOMAS,SAN JUAN,,SAN JUAN,TRUE,ROOFTOP,1,,,,(787) 782-9999,PR,https://data.medicare.gov/resource/xubh-q36u/row-iham_kjk3_hiuu,915,400106,400106,649952,4,400106,1,2019-05-31,2018-01-01,2018-12-31,2018,364,t,126,6,,,6,,,,,,,,,,,,,132,,,15,,,,,147,,24022,1369,,,1369,,,,,,,,,,,,,25391,,,,,,,,,,62.0000,52.0000,,429.5200
HOSPITAL METROPOLITANO SAN GERMAN,Proprietary,Acute Care Hospitals,18.0824930,-67.0401082,CALLE JAVILLA  #8 AL COSTADO PARQUE DE BOMBAS,SAN GERMAN,,SAN GERMAN,TRUE,ROOFTOP,1,,,,(787) 892-5300,PR,https://data.medicare.gov/resource/xubh-q36u/row-vvsg~hsvv~xuim,683,400126,400126,649953,4,400126,1,2019-05-31,2018-01-01,2018-12-31,2018,364,t,59,6,,,6,,,,,,,,,,,,,65,,,,,,,,65,5,10469,1478,,,1478,,,,,,,,,,,,,12311,,,,,,,,,,67.0000,52.0000,,239.2800
HIMA-SAN PABLO FAJARDO,Proprietary,Acute Care Hospitals,18.3356291,-65.6532034,GENERAL VALERO AVE#404,FAJARDO,,FAJARDO,TRUE,ROOFTOP,1,,,,(787) 655-0505,PR,https://data.medicare.gov/resource/xubh-q36u/row-97wi-8fxd.yjx6,738,400125,400125,650362,4,400125,1,2019-05-31,2018-01-01,2018-12-31,2018,364,t,163,17,,,17,,,,,,,,,,,,,180,,,,,,,,180,,12357,3131,,,3131,,,,,,,,,,,,,15808,,,,,,,,,,50.0000,24.0000,,279.8400
DOCTOR CENTER HOSPITAL SAN FERNANDO DE LA CAROLINA,Government - State,Acute Care Hospitals,18.4215119,-66.0256637,EDIF JESUS T PINEIRO AVE FERNANDEZ JUNCOS BO PUEBL,CAROLINA,,SAN JUAN,TRUE,GEOMETRIC_CENTER,1,,,,(787) 725-6038,PR,https://data.medicare.gov/resource/xubh-q36u/row-ngg4_t8sn.3cyg,979,400132,400132,650363,4,400132,1,2019-05-31,2018-01-01,2018-12-31,2018,364,t,103,6,,,6,,,,,,,,,,,,,109,,,,,,,,109,8,25843,1784,,,1784,,,,,,,,,,,,,27790,,,,,,,,,,81.0000,70.0000,,267.6300
PRESBYTERIAN COMMUNITY HOSP,Voluntary non-profit - Other,Acute Care Hospitals,18.4550543,-66.0654679,1451 ASHFORD AVENUE,SAN JUAN,,SAN JUAN,TRUE,ROOFTOP,1,,,,(787) 721-2160,PR,https://data.medicare.gov/resource/xubh-q36u/row-gmb5-dr3a.fzy4,907,400001,400001,660874,2,400001,1,2019-11-26,2018-07-01,2019-06-30,2018,364,t,151,6,18,,6,,,,,,,,,,,,,175,,,,,,,,175,18,30019,1880,4202,,1880,,,,,,,,,,,,,36101,,,,,,,,,,86.0000,56.0000,,686.8000
HOSPITAL UNIVERSITARIO DR RUIZ ARNAU,Government - State,Acute Care Hospitals,18.3672680,-66.1538110,LAUREL AVE SANTA JUANITA #100,BAYAMON,,BAYAMON,TRUE,ROOFTOP,1,,,,(787) 787-5151,PR,https://data.medicare.gov/resource/xubh-q36u/row-ea8w~5nt3-7vuk,956,400105,400105,661647,2,400105,1,2019-12-05,2018-07-01,2019-06-30,2018,364,t,102,,,,0,,,,,,,,,,,,,102,,,,,,,,102,,11179,,,,0,,,,,,,,,,,,,11179,,,,,,,,,,,30.0000,31.6300,257.6300
AUXILIO MUTUO HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,18.4229638,-66.0571476,PONCE DE LEON AVENUE STOP 37 1/2,HATO REY,,SAN JUAN,TRUE,GEOMETRIC_CENTER,1,,,,(787) 758-2000,PR,https://data.medicare.gov/resource/xubh-q36u/row-hh9m-t23y-dj6g,918,400016,400016,645607,2,400016,1,2019-03-01,2017-10-01,2018-09-30,2018,364,t,363,11,29,6,17,7,,6,,,,6,,15,,,,443,,17,,,,,,460,,92934,3923,2249,1329,5252,2209,,2170,,,,1616,,3677,,,,111739,,3966,,,,,,,,84.0000,69.0000,1.5800,1934.0000
HIMA SAN PABLO HUMACAO,Proprietary,Acute Care Hospitals,18.1505887,-65.8266744,CALLE FONT MARTELO #3,HUMACAO,,HUMACAO,TRUE,ROOFTOP,1,,,,(787) 852-2424,PR,https://data.medicare.gov/resource/xubh-q36u/row-qp8j~6s5w~t5hf,791,400005,400005,650770,4,400005,1,2019-05-31,2018-01-01,2018-12-31,2018,364,t,58,6,,,6,,,,,,,,,,,,,64,,,,,,,,64,,12843,1810,,,1810,,,,,,,,,,,,,14653,,,,,,,,,,82.0000,62.0000,,232.3600
HOSPITAL SAN FRANCISCO,Proprietary,Acute Care Hospitals,18.3990299,-66.0387156,371 DE DIEGO AVE,SAN JUAN,,SAN JUAN,TRUE,ROOFTOP,1,,,,(787) 767-5100,PR,https://data.medicare.gov/resource/xubh-q36u/row-ptc2_mz25~5eh6,923,400098,400098,650771,4,400098,1,2019-05-28,2018-01-01,2018-12-31,2018,364,t,115,10,,,10,,,,,,,,,,,,,125,,,,,,,,125,,30292,2518,,,2518,,,,,,,,,,,,,32810,,,,,,,,,,69.0000,72.0000,,427.5400
HIMA SAN PABLO BAYAMON,Proprietary,Acute Care Hospitals,18.3976640,-66.1496740,70 CALLE SANTA CRUZ,BAYAMON,,BAYAMON,TRUE,,0,,,,(787) 620-4747,PR,https://data.medicare.gov/resource/xubh-q36u/row-gt9f-5hpz-5v3k,961,400109,400109,650772,4,400109,1,2019-05-31,2018-01-01,2018-12-31,2018,364,t,290,39,,,39,7,,,,,,,,,,,,336,,,,,,,,336,,78311,12755,,,12755,927,,,,,,,,,,,,93954,,,,,,,,,,89.0000,76.0000,,1424.0000
CENTRO MEDICO WILMA N VAZQUEZ,Proprietary,Acute Care Hospitals,18.4433265,-66.4180747,CARR. 2 KM 39.5    ROAD NUMBER 2 BO ALGARROBO,VEGA BAJA,,VEGA BAJA,TRUE,GEOMETRIC_CENTER,1,,,,(787) 858-1580,PR,https://data.medicare.gov/resource/xubh-q36u/row-7zfj_f2en-e6zu,693,400115,400115,650774,4,400115,1,2019-05-31,2018-01-01,2018-12-31,2018,364,t,124,6,,,6,,,,,,,,,,,,,130,,,,20,,,,150,,11237,1369,,,1369,,,,,,,,,,,,,12606,,,,6842,,,,,,62.0000,26.0000,,296.0700
LEGENT ORTHOPEDIC + SPINE,Proprietary,Acute Care Hospitals,29.5914810,-98.5904380,5330 NORTH LOOP 1604 WEST,SAN ANTONIO,,BEXAR,TRUE,,0,48029,"San Antonio-New Braunfels, TX",41700,(717) 620-2424,TX,https://data.medicare.gov/resource/xubh-q36u/row-gmp5~zjwe~7e5z,78249,670112,670112,656038,5,670112,1,2019-01-30,2017-09-01,2018-08-31,2017,364,t,26,,,,0,,,,,,,,,,,,,26,,,,,,,,26,,221,,,,0,,,,,,,,,,,,,221,,,,,,,,18,,,2.0000,,72.7900
WILSON MEDICAL CENTER,Government - Local,Critical Access Hospitals,37.4085290,-95.7082419,REECE CAMPUS 2600 OTTAWA ROAD,NEODESHA,,WILSON,TRUE,ROOFTOP,1,20205,,,(620) 325-2611,KS,https://data.medicare.gov/resource/xubh-q36u/row-fh4a~9srx~xwnp,66757,171344,171344,649229,13,171344,1,2019-05-30,2018-01-01,2018-12-31,2018,364,t,15,,,,0,,,,,,,,,,,,,15,,,,,,,,15,,2457,,,,0,,,,,,,,,,,,,2457,,,,,,,,135,,,45.0000,,109.1700
HEART OF AMERICA MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,48.3635110,-99.9961110,800 S MAIN AVE,RUGBY,,PIERCE,TRUE,,0,38069,,,(701) 776-5261,ND,https://data.medicare.gov/resource/xubh-q36u/row-qi8i~9ssv.ufv2,58368,351332,351332,654478,1,351332,1,2019-08-30,2018-04-01,2019-03-31,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,55,,,,80,,2684,,,,0,,,,,,,,,,,,,2684,,,,16842,,,,228,,,29.0000,,232.7000
MORGAN COUNTY ARH HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,37.9201370,-83.2662760,476 LIBERTY ROAD,WEST LIBERTY,,MORGAN,TRUE,,0,21175,,,(606) 743-3186,KY,https://data.medicare.gov/resource/xubh-q36u/row-aia2-xvbh~gtxt,41472,181307,181307,662531,2,181307,1,2019-12-03,2018-07-01,2019-06-30,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,,,,,25,,697,,,,0,,,,,,,,,,,,,697,,,,,,,,1155,,,7.0000,,143.5100
SIDNEY REGIONAL MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,41.1307540,-102.9801900,1000 POLE CREEK CROSSING,SIDNEY,,CHEYENNE,TRUE,,0,31033,,,(308) 254-5825,NE,https://data.medicare.gov/resource/xubh-q36u/row-ctm9.mndn-bc8y,69162,281357,281357,648132,2,281357,1,2019-05-20,2018-01-01,2018-12-31,2018,364,t,15,4,,,4,,,,,,,,,,,,,19,,,,61,,,,80,,1925,35,,,35,,,,,,,,,,,,,2056,,,,18511,,,,240,,2.0000,29.0000,,326.2500
SELLS HOSPITAL,Tribal,Acute Care Hospitals,31.9183549,-111.8792747,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,,PIMA,TRUE,GEOMETRIC_CENTER,1,04019,"Tucson, AZ",46060,(520) 362-7003,AZ,https://data.medicare.gov/resource/xubh-q36u/row-57e8_mqp9-5x9d,85634,30074,30074,651599,7,30074,1,2019-07-10,2017-10-01,2018-09-30,2018,364,t,14,,,,0,,,,,,,,,,,,,14,,,,,,,,14,,981,,,,0,,,,,,,,,,,,,981,,,,,,,,,,,19.0000,,141.0000
JACKSON HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,30.7874800,-85.2409320,4250 HOSPITAL DR,MARIANNA,,JACKSON,TRUE,,0,12063,,,(850) 526-2200,FL,https://data.medicare.gov/resource/xubh-q36u/row-kd9h-xmn9-4awy,32446,100142,100142,645398,11,100142,1,2019-03-01,2017-10-01,2018-09-30,2018,364,t,59,7,,,7,,,,,,,,,,,,,66,,,,,,,,66,5,11100,1377,,,1377,,,,,,,,,,,,,13510,,,,,,,,1250,,54.0000,56.0000,,458.1600
EMANUEL MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,32.5932100,-82.3465520,117 KITE ROAD,SWAINSBORO,,EMANUEL,TRUE,,0,13107,,,(478) 289-1304,GA,https://data.medicare.gov/resource/xubh-q36u/row-zwa9.bq43.jmum,30401,110109,110109,659232,9,110109,1,2019-11-21,2018-07-01,2019-06-30,2018,364,t,37,8,,,8,,,,,,,,,,,,,45,15,,,49,,,,109,,2691,584,,,584,,,,,,,,,,,,,3275,4236,,,16900,,,,1195,,20.0000,19.0000,,314.4900
MANATI MEDICAL CENTER DR OTERO LOPEZ,Proprietary,Acute Care Hospitals,18.4346023,-66.4823714,CALLE HERNANDEZ CARRION URB ATENAS,MANATI,,MANATI,TRUE,GEOMETRIC_CENTER,1,,,,(787) 621-3700,PR,https://data.medicare.gov/resource/xubh-q36u/row-bgg8-aaue_zyh9,674,400114,400114,649496,4,400114,1,2019-05-28,2018-01-01,2018-12-31,2018,364,t,231,20,,,20,,,,,,,,,,,,,251,,,,,,,,251,7,58638,7300,,,7300,,,,,,,,,,,,,70614,,,,,,,,,,100.0000,77.0000,16.5300,1269.0000
CARE REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,27.9159210,-97.1618290,1711 W WHEELER AVENUE,ARANSAS PASS,,SAN PATRICIO,TRUE,,0,48409,"Corpus Christi, TX",18580,(361) 758-8585,TX,https://data.medicare.gov/resource/xubh-q36u/row-g7k6_vy64~c2bf,78336,450605,450605,655598,4,450605,1,2018-07-30,2017-01-01,2017-12-31,2017,364,t,63,,,,0,,,,,,,,,,,,,63,12,,,,,,,75,,2733,,,,0,,,,,,,,,,,,,2733,611,,,,,,,550,,,11.0000,,146.4100
"HOSPITAL UPR, DR  FEDERICO TRILLA",Proprietary,Acute Care Hospitals,18.3808638,-65.9632825,CARR 3 KM 8  3 AVE 65TH INFANTERIA       BOX 6021,CAROLINA,,CAROLINA,FALSE,RANGE_INTERPOLATED,1,,,,(787) 757-1800,PR,https://data.medicare.gov/resource/xubh-q36u/row-xbn3-25u3~b8g7,984,400112,400112,660876,2,400112,1,2019-11-26,2018-07-01,2019-06-30,2018,364,t,210,8,15,,8,,,,,,,,,,,,,233,,,,,,,,233,4,43264,2068,1189,,2068,,,,,,,,,,,,,47539,,,,,,,,,,71.0000,56.0000,60.8100,580.0100
HARRIS REGIONAL HOSPITAL,Proprietary,Acute Care Hospitals,35.3839230,-83.2027900,68 HOSPITAL RD,SYLVA,,JACKSON,TRUE,,0,37099,"Cullowhee, NC",19000,(828) 586-7000,NC,https://data.medicare.gov/resource/xubh-q36u/row-xxmc~xtb8_wjsz,28779,340016,340016,658527,4,340016,5,2019-05-09,2017-08-01,2018-07-31,2017,364,t,73,9,,,9,,,,,,,,,,,,,82,,,,,,,,82,,10334,2302,,,2302,,,,,,,,,,,,,13909,,,,,,,,1198,,70.0000,46.0000,,631.3400
SAN JUAN MUNICIPAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,18.3960081,-66.0738624,"BARRIO MONACILLOS,CENTRO MEDICO",RIO PIEDRAS,,SAN JUAN,TRUE,GEOMETRIC_CENTER,1,,,,(787) 756-8535,PR,https://data.medicare.gov/resource/xubh-q36u/row-k4tw_xde7_xhx9,936,400015,400015,661646,8,400015,1,2019-11-29,2018-07-01,2019-06-30,2018,364,t,144,30,,,30,,,,,,,,,,,,,174,,,,,,,,174,,24474,4676,,,4676,,,,,,,,,,,,,31941,,,,,,,,,,42.0000,50.0000,110.0000,642.0000
